User,Followers,nFs,All_Followers,nF
t0rr3sp3dr0,"ovictoraurelio,lucasbarross,lvrma,adecarli,wison27,jgfn1,gan640",7,"gan640,lvrma,wison27,SergioTTF,mlbas,brgccf,monteiro,luiz,willeeer,adecarli,lams3,jgfn1,LeonardoGaldino,yoko83,afa4,phdosilva,rllima,lucasbarross,ullayne02,ovictoraurelio,gabrielpessoa1,Lucas,CardosoO,edenalsant",22
leticiamachado,"corallocatelli,AnnyChien,abriela,tecavasconcelos,raisagalindo,paulofloliveira,sheylacanutobf",7,"paulofloliveira,claudioalvesmonteiro,acms1313,carlosorochi,daliannyvieira,patriciaaregis,abriela,Letisouza,manuelapereira,corallocatelli,pallomamarciano,gabifdemelo,raisagalindo,AnnyChien,svirocha,tecavasconcelos,debcamila,helenafs,sheylacanutobf,anicelysantos,camilars",21
felipefarias,"luanfonceca,filipeximenes,fjsj,chocoelho,vanessa,meiralins,amandasavluchinske",7,"filipeximenes,brunocoelho,fjsj,Siffert,fabiocerqueira,sergiofontes,meiralins,luanfonceca,matagus,osantana,vidalvasconcelos,medeirosthiago,faeliaso,chocoelho,matiasinsaurralde,srtab,Milhano,kamranhossain,vanessa,amandasavluchinske,dzikri,alessandroHenrique",22
yelken,"iagobelo,deyvisonrocha,rodolfoestevam,saulobr88,joaopaulosama,esdrascavalcs,draraujoo",7,"vitoriavasconcelos,deyvisonrocha,khushbuparakh,Shipow,draraujoo,saulobr88,joaopaulosama,gabrielpconceicao,esdrascavalcs,cusspvz,gustavokuklinski,rafaelducati,angusshire,ytalokaio,gabrielilharco,victor,manco33,evinw,fructuoso,RamonVicente,gpedro,KevinHock,dalinhuang99,wjuniorw,iagobelo,rodolfoestevam,ylgnerbecton",26
dayvsonlima,"karlafalcao,alexpessoajr,tuliohmendes,hamorim,joseronierison,luizpaulogodoy,hugolhmartins",7,"thiagolmm,karlafalcao,iuribrito,marcelocost,vitornogueira,joseronierison,gpedro,gabrielpconceicao,brunocasanova,angusshire,CesarOliveira,renanoaraujo,alvarengathomas,luizpaulogodoy,phinfonet,Linux,Player,hugolhmartins,hamorim,alexpessoajr,tuliohmendes,paulohtfs,dalinhuang99,caique,clebercar",24
rodolfoestevam,"pcstl,iagobelo,Vitor0liveira,luhanlacerda,mauLeal,claudvanbarret,felipehmsilveira",7,"iagobelo,yuriroyer,mauLeal,cahueby,luhanlacerda,pcstl,felipehmsilveira,dalinhuang99,Luizdidier,rafaelporfirio,laisvidoto1994,claudvanbarret,Bunlong,danieldsf,Vitor0liveira,CarlosRamon,Mavbraz",17
eudesll,"paulorec,alsmoreira,interaminense,victorlaerte,alexpessoajr,peaonunes,heitorpaceli",7,"FelipeRC,alsmoreira,jonasagx,alexpessoajr,lucasdicavalcanti,FabioAguiar,caiosfonseca,paulorec,rafellk,interaminense,victorlaerte,heitorpaceli,mstraughan86,ottony,peaonunes,thnery",16
ThaisaMirely,"mayrarabelo,AbrantesMar,rcbop,ThomazFB,rafaelgsm,esdrascavalcs,cConectando",7,"MoraisIgor,jcaacar,esdrascavalcs,paulowcorreia,ThomazFB,SanjayYadav90,taisedias,josealvessa,angusshire,rafaelgsm,luisgabriel,AbrantesMar,lotofcaffeine,rcbop,vinniemoreira,edu,bot,mayrarabelo,yankasantos,cConectando,mateuschaves,onaSousa",21
sgosantos,"brunofarache,victorlaerte,henriquemenezes,diegonvs,alexpessoajr,igoriols,ledebour",7,"brunofarache,miguelamoros,uiltonjose,igoriols,nhpatt,henriquemenezes,ledebour,victorlaerte,pragmaticivan,phcp,camisLuisa,diegonvs,alexpessoajr",13
henriquemenezes,"marcelcaraciolo,dvro,brunnogomes,AbrantesMar,tcostam,igoriols,luizpaulogodoy",7,"marcelcaraciolo,adrianomelo,dvro,pennyfunny0125,yidne,tcostam,cusspvz,simonk9,angusshire,guilhermerama,riyasmohamedmr,joaopedronardari,brunomunizaf,VagrantStory,phmferreira,renanoaraujo,blazeinfosec,mateusgrb,samyk,DiegoSilva776,igoriols,denissonleal,Linux,Player,nberat5,thnery,sophiabeame,SupaHiro,manu14889,brunnogomes,ansarid,KevinHock,AbrantesMar,ameenaziz,AhmedMo77859420,luizpaulogodoy,leonardovaleriano,jpaulolins,dalinhuang99,sydneyhen,dplewis,AndiChiou,tbassis",42
deyvisonrocha,"luiztiago,guilhermefarias,yelken,julihermes,douglasrangel,soikmd2,renatoalvesdev",7,"lucasm0ura,guilhermefarias,alganet,henriquemoody,gitlisted,iamtchelo,eduardomelo,iloes,luiztiago,yelken,julihermes,rhchristian,marzocchi,brunocasanova,renatoalvesdev,phpenterprise,angusshire,soikmd2,fishequality,luizbatista,fernandosouza,ramons03,hernandev,saulomatias,brunoguerra,brunodarshan,EclipseMain,opengiineer,fridzema,SkyzohKey,heathdutton,douglasrangel",32
