User,Followers,nFs,All_Followers,nF
JohnsonMauro,"simoneas02,talitaoliveira,lubarinobr,joelnetodev",4,"lubarinobr,WgCarlos,XorAndre,simoneas02,higordiego,rogerin,joelnetodev,talitaoliveira,SEdilson,ErickdaCosta",10
cassiolpaixao90,"talitaoliveira,rodolfoestevam,fehaa,izaiasavila",4,"diiegocavalcanti,fehaa,sillasleal,rodolfoestevam,willanythayse,izaiasavila,andrenoberto,tenorius,FederalCircle,talitaoliveira,Laura,Oliveira",11
paulomenezes,"horaciojcfilho,luizlago,fjmartins,renatohlf",4,"luizlago,renatohlf,fjmartins,luizfranca,horaciojcfilho,kenethy,camilecampos,mstraughan86,wallsmanBR,CarlosRodrigo,ros3cin",11
phbraga,"tuliohmendes,Juniorlimaivd,renatoosousa,bebetocf",4,"imtikon,tuliohmendes,CarlosPena00,Juniorlimaivd,bebetocf,lomcin,lhcavalcanti,heitorrapela,cstiano,renatoosousa,goncamateus",11
eduardobaia,"cleydyr,AbrantesMar,eltonrufino,fehaa",4,"eltonrufino,brunossc,fehaa,cleydyr,AbrantesMar",5
hfbassani,"Juniorlimaivd,phbraga,renatoosousa,bebetocf",4,"gabriel,bandeira,phbraga,lhcavalcanti,heitorrapela,renatoosousa,bebetocf,CarlosPena00,lomcin,Juniorlimaivd,goncamateus",10
raony,"filipeximenes,rasoliveira,thiagoarrais,brmedeiros",4,"thiagoarrais,Billybob,paolocarrasco,rasoliveira,filipeximenes,marcwebbie,KevinHock,jonatas,pr0d1r2,duduribeiro,brmedeiros",11
arineto,"filipeximenes,arthuralvim,chocoelho,matheuslins",4,"CarlosBonetti,arthuralvim,vitroz,matheuslins,chocoelho,filipeximenes,pauloromeira,alessandroHenrique,brunoresende1991,mgargenta",10
ronaldoveras,"simoneas02,guilhermefarias,ViniFlira,ViniFlira",4,"guilhermefarias,simoneas02,adsonb87,JeffLLima,ViniFlira,veronicaglima,selimdoyranli",7
guilhermebm,"filipeximenes,fjsj,thiagodiniz,andrebuarque",4,"fjsj,thiagodiniz,rodrigues,filipeximenes,pedroaranha,Siffert,angusshire,ParinVachhani,andrebuarque,shenzhoudance",10
soikmd2,"guiocavalcanti,deyvisonrocha,douglasrangel,diogobrsantos",4,"diogobrsantos,dragondiego7,deyvisonrocha,guiocavalcanti,RenatoFranca,douglasrangel",6
AnnyChien,"leticiamachado,corallocatelli,abriela,raisagalindo",4,"leticiamachado,abriela,raisagalindo,corallocatelli,daliannyvieira,camilars",6
PedroRossi,"Juniorlimaivd,peaonunes,macm3,rpss2",4,"Nuneshere,gabrielvmelo,LeonardoGaldino,RamonSaboya,davidmarccos,jvvosantos,joaopedroxavier,ladsong,rcrs3,Juniorlimaivd,Danielfib,macm3,peaonunes,SergioTTF,Gui,Lima,gabrielpessoa1,rpss2",17
MiniMarvin,"ThiagoAugustoSM,Leviterus,MichaelBarney,GabrielVanderlei",4,"MichaelBarney,KilnerJhow,Leviterus,OtacilioN,SteffanoP,GabrielVanderlei,ThiagoAugustoSM",7
filipe0513,"filipeximenes,fjsj,patrickrbc,chicofilho",4,"luandduarte,filipeximenes,patrickrbc,Siffert,fjsj,chicofilho,denismaciel",7
diogobrsantos,"deyvisonrocha,douglasrangel,soikmd2,deyvisonrochaidealizza",4,"matheuscmpm,dragondiego7,soikmd2,deyvisonrochaidealizza,deyvisonrocha,RenatoFranca,karmakumar,douglasrangel",8
setanta,"arthuralvim,henriquemenezes,thiagoarrais,lauromoura",4,"thiagoarrais,luisgabriel,thiagolacerda,tulliolucena,nickdiego,thulio,rafaelcaricio,adrianomelo,osantana,flavioribeiro,arthuralvim,lauromoura,henriquemenezes,angusshire,fpcMotif,sibelius",16
tobiasparaiso,"paulorec,interaminense,victorlaerte,alexpessoajr",4,"paulorec,alexpessoajr,nathalyas,interaminense,victorlaerte,mstraughan86,ramon,v",7
aacgn,"jpedroh,gilesv,eduardosm7,GabrielGouv",4,"GabrielGouv,gilesv,eduardosm7,jpedroh",4
herbertt,"pauloborba,iagobelo,lubarinobr,thaisabr",4,"pauloborba,thaisabr,jonaslins,larissafalcao,julioscesare,petrosbarreto,iagobelo,diegoep,cezane,AlexJCosta,misterXavier,lubarinobr,iltonkp,oregonman,mauriciodelira,vanessasidrim,Fernando,Freire,roboticalivre",18
AbrantesMar,"henriquemenezes,fehaa,eduardobaia,keywilliams",4,"rodrigox,QueirozDavi,Vanderlan,YGORJS,jguedes,ManoelAlmeida,saleslessa,skywalkerluc,andrelfmachado,henriquemenezes,iohansoncassiano,brunossc,fehaa,keywilliams,eduardobaia,halyssonnobrega,ThiagoEvoa",17
soareswallace,"igormp,bebetocf,AugustoQueiroz,prximenes",4,"prximenes,lrac2015,igormp,AugustoQueiroz,lucaslcg,goncamateus,bebetocf",7
fernandopereira,"brunnogomes,araujoraphael,GeneseLessa,danilosoares",4,"antonio55,GeneseLessa,araujoraphael,thaisbione,danilosoares,mjacobus,brunnogomes,KevinHock",8
renatohlf,"diegonvs,itsmealves,paulomenezes,SilvaDecio",4,"diegonvs,glpsp,itsmealves,SilvaDecio,paulomenezes,kalecio",6
gppeixoto,"arthuralvim,peaonunes,jpedrocm,vinimoraesrc",4,"vinimoraesrc,dcms2,LucasIME,jpedrocm,arthuralvim,davidmarccos,peaonunes",7
igormp,"AugustoQueiroz,tancredosouza,prximenes,PunishedBois",4,"nivaldogmelo,yanngabriel05,luizfilipemacedo,cusspvz,mikegwhit,OchumaAgwara,tancredosouza,MichalPaszkiewicz,AugustoQueiroz,sylviot,prximenes,lrac2015,PunishedBois,carolcruz,zzedgat2012,jainec",16
luhanlacerda,"rodolfoestevam,Vitor0liveira,RodrigoRodrigues7",3,"Vitor0liveira,Mavbraz,rodolfoestevam,RodrigoRodrigues7,Luizdidier,VictorSales",6
walber,"interaminense,diegonvs,alexpessoajr",3,"angusshire,brunabaudel,diegonvs,alexpessoajr,interaminense",5
mauLeal,"iagobelo,rodolfoestevam,Vitor0liveira",3,"iagobelo,rodolfoestevam,ylgnerbecton,danieldsf,Vitor0liveira",5
tcostam,"henriquemenezes,andremelo87,luizpaulogodoy",3,"Siffert,m0nad,henriquemenezes,liphvf,andremelo87,thnery,luizpaulogodoy,opengiineer,Zipssinha,tbassis",10
bebetocf,"Juniorlimaivd,phbraga,renatoosousa",3,"renatoosousa,CarlosPena00,goncamateus,OtacilioN,cstiano,heitorrapela,lomcin,Juniorlimaivd,lhcavalcanti,phbraga",10
victorpluna,"arthuralvim,AlexSoaresDeSiqueira,sfilhu",3,"thulioph,arthuralvim,AlexSoaresDeSiqueira,sfilhu,pedrowborges",5
renatoosousa,"Juniorlimaivd,bebetocf,fms6",3,"cstiano,bebetocf,lhcavalcanti,CarlosPena00,goncamateus,luanacampos,heitorrapela,lomcin,Juniorlimaivd,fms6",10
fehaa,"WandersonAlves,cassiolpaixao90,vinyfalcao",3,"ahmetabdi,fnipo,WandersonAlves,cassiolpaixao90,dplewis,andrenoberto,vinyfalcao",7
klebercode,"luanfonceca,irgmedeiros,juniorbrasil",3,"luanfonceca,juniorbrasil,irgmedeiros,cusspvz,angusshire,rafaelporfirio",6
flpn,"gabrielteodosio,gustavomeloGH,koodaa",3,"KleyYelk,Eduardo123Andrade,FellipePires,renatobertolino,Jonathannl2,jurandircastro,gustavomeloGH,gabrielteodosio,koodaa,joaohenriqu4",10
netoabel,"paulorec,alexpessoajr,sergiohampel",3,"eddyeantunes,haroldogtf,thulioph,sergiohampel,alexpessoajr,paulorec",6
saulobr88,"ktquez,yelken,Jeffguitar",3,"Hardegon,yelken,Jeffguitar,ktquez,opengiineer,danieldsf",6
paulobsa,"andreldm,moisespalma,joaopaulosama",3,"moisespalma,vivisousa,andreldm,joaopaulosama",4
jgfn1,"ovictoraurelio,t0rr3sp3dr0,almdac",3,"badeca,Traivok,almdac,ovictoraurelio,t0rr3sp3dr0",5
almdac,"ovictoraurelio,jctvEC,jgfn1",3,"ovictoraurelio,jgfn1,SenhorN,jctvEC",4
ThomasSousa96,"alsmoreira,valterh4ck3r,Masterfoni",3,"alsmoreira,Masterfoni,valterh4ck3r,Danilopsilva",4
felypenery,"arthuralvim,alsmoreira,alexpessoajr",3,"alsmoreira,arthuralvim,alexpessoajr,lucasdicavalcanti",4
jpedroh,"diegonvs,aacgn,GabrielGouv",3,"GabrielGouv,zucas,aacgn,FSchieber,diegonvs",5
igoriols,"brunofarache,henriquemenezes,brunovpl",3,"brunofarache,henriquemenezes,nhpatt,brunovpl,gabiduarte,diogo,lins,dalinhuang99,LowApe",8
gustavomeloGH,"gabrielteodosio,flpn,fjmartins",3,"gabrielteodosio,cesarnascimento,MarceloKabbalah,flpn,Jonathannl2,matheusTA,jurandircastro,italoraphael98,fjmartins,renatobertolino",10
isabarros,"renatooliveira,roselmamendes,embs",3,"renatooliveira,Bouckaert,fernandolins,mateusgrb,vanessagl2,alvarojoao,angusshire,embs,roselmamendes,eduardo,melo",10
lbrito1,"gvc,embs,filipewl",3,"embs,djoldman,sergiofontes,eihror,KevinHock,gvc,filipewl,sabunt",8
MatheusSouza12,"leuthier,Vitor0liveira,manoelfneto",3,"acarlos94,manoelfneto,Matheus,Campos,Vitor0liveira,leuthier",5
Allansantosdefreitas,"alsmoreira,andersonpe,johnmaykbrito",3,"Jonathanifpe,alinepinheiroifpe,alsmoreira,JoaoVictorBarbosa,ital0amorim,davydadriel,LuisinhoHN,andersonpe,johnmaykbrito",9
lvrma,"t0rr3sp3dr0,peaonunes,adecarli",3,"t0rr3sp3dr0,peaonunes,Nuneshere,lams3,adecarli,davidmarccos,LeonardoGaldino,SergioTTF,manuellavalenca",9
felipesotero,"filipeximenes,renatooliveira,arthuralvim",3,"renatooliveira,arthuralvim,fernandolins,pauloborges,filipeximenes,eduardo,melo",6
lapl,"tomersimis,peaonunes,vinimoraesrc",3,"vinimoraesrc,tomersimis,dcms2,peaonunes,pazspm",5
DyogoViana,"talitaoliveira,cassiolpaixao90,mafrnds",3,"talitaoliveira,mafrnds,cassiolpaixao90",3
guilhermejccavalcanti,"pauloborba,embs,arthurmenezesb",3,"haroldogtf,pauloborba,embs,arthurmenezesb,owhadi",5
carvalhodj,"vmms16,UdneyCarvalho,belcsantiago",3,"peticormei,vmms16,UdneyCarvalho,joaovitor7,Onnion,romeroclaudino,romilson8,belcsantiago",8
abriela,"leticiamachado,corallocatelli,AnnyChien",3,"leticiamachado,Letisouza,corallocatelli,AnnyChien,gabifdemelo",5
chicofilho,"filipeximenes,meiralins,filipe0513",3,"luandduarte,filipe0513,filipeximenes,luisgabriel,cristianomad,meiralins,jhrocha,MichalPaszkiewicz,denismaciel",9
aperrelli,"luiztiago,jordanamorais,cleydyr",3,"luiztiago,charlenopires,Sisay25,ajsb85,cleydyr,igocoelho,jordanamorais,minsle,akinhwan",9
andremelo87,"ericbbraga,favasconcelos,tcostam",3,"ericbbraga,andremion,pranavlathigara,charlenopires,Shur,Lin,favasconcelos,selimdoyranli,tcostam,minsle",9
pcosv,"Juniorlimaivd,penelopearaujo,AugustoQueiroz",3,"msb55,Arkamer,marina,barros,penelopearaujo,frsoares,Juniorlimaivd,EmersonVictor,AugustoQueiroz,Lucas,CardosoO",9
antoniocorreia,"filipeximenes,guilhermepaiva,felipedemacedo",3,"filipeximenes,guilhermepaiva,clausiobarbosa,CaroolSantos,felipedemacedo,baartho",6
macm3,"peaonunes,mangueBit,petinformatica",3,"peaonunes,rcalegario,mangueBit,rafaellsma,caroolpmelo,LeonardoGaldino,petinformatica,mguilhermetavares",8
MichaelBarney,"Leviterus,LGR3,GabrielVanderlei",3,"OtacilioN,gvictor00,LGR3,GabrielVanderlei,Leviterus",5
penelopearaujo,"Juniorlimaivd,gabrieldluca,pcosv",3,"Lucas,CardosoO,gabrieldluca,EmersonVictor,manuellavalenca,frsoares,Juniorlimaivd,pcosv,marina,barros,Arkamer",9
figueredo,"arthuralvim,ericbbraga,FlavioCastroFilho",3,"luisgabriel,bfsc,thiagolacerda,Miliox,FlavioCastroFilho,arthuralvim,joaoaneto,ericbbraga",8
rmd2,"renatooliveira,arthuralvim,embs",3,"renatooliveira,fernandolins,embs,arthuralvim,alvarojoao,eduardo,melo",6
manoelcyreno,"clovisdasilvaneto,diegonvs,jordanamorais",3,"ftadashi,jordanamorais,clovisdasilvaneto,diegonvs,douglasbgatti",5
andersongns,"talitaoliveira,matheusFTC,caiochagas",3,"Eli22,talitaoliveira,PhillipeBurgos,lucasbento,edu,bot,matheusFTC,caiochagas,kadijna,mstraughan86,marknemesis",10
bernardomelo,"rbm4,mangueBit,VanessaVieiraVV",3,"rbm4,VanessaVieiraVV,mangueBit",3
josealbino,"jordanamorais,rafaprax,manoelcyreno",3,"rafaprax,jordanamorais,manoelcyreno",3
antoniosj,"AbrantesMar,mangelis,andrefilipesz",3,"andrefilipesz,AbrantesMar,luanamartins,felipenoris,eduardo,melo,mangelis,btalyta,elviobg,Bunlong,AdilsonAndrade,amgauna,caioernandes,alysonandrade142",13
alocjr,"AvelinoGomez,JamessonCheron,ClaytonRocha",3,"HenriqueDreyer,felixruan09,JamessonCheron,kilsongomes,rodrigocavalcanti95,AvelinoGomez,MatheuzMarinho,giuliacavalcanti,ClaytonRocha,gvgabriellb,mguilhermetavares,JeanDuarte00,pablomaribondo,GustC",14
raquelguimaraes,"simoneas02,roselmamendes,rasoliveira",3,"gmotta,leandrogualter,rasoliveira,ronualdo,fernando,alves,jeandersonbc,amaurymedeiros,marcwebbie,simoneas02,IgorVieira,roselmamendes,marcosjoao37,isaahmdantas,flavioribeiro,CafeLungo",15
rcaval,"roselmamendes,karlafalcao,rasoliveira",3,"trecenti,gmotta,nandokakimoto,paolocarrasco,ronualdo,rasoliveira,lmenezes,STRd6,marcwebbie,roselmamendes,taisedias,vrcca,gpedro,pmaia,karlafalcao",15
matheusFTC,"talitaoliveira,andersongns,amavlopes",3,"ros3cin,andersongns,talitaoliveira,mrprompt,amavlopes,japm94,mstraughan86,Vermisse,srcmaxim,marknemesis,rftHusn,gabriel,silva,rftssn,rodriguesfas,FatamaBe,canvencer",16
lauromoura,"marcelcaraciolo,lipse,nielsonsantana",3,"lboaretto,rafaelcaricio,lipse,marcelcaraciolo,rogerzanoni,nielsonsantana,mbelluzzo,thiagolacerda,develmcz,tulliolucena,nickdiego,luisgabriel,prabhic,adrianomelo,MichalPaszkiewicz,osantana,sibelius",17
mirjahal,"williambeto,luanoliveira1992,neryluc",3,"eihror,jfranciscos4,luanoliveira1992,vrcca,angusshire,deivisondfs2,soyelmnd,neryluc,williambeto,evinw,Linux,Player,charlenopires,javiereguiluz,selimdoyranli,stewwan,mihnsen,dalinhuang99,RenatoFranca,heathdutton",19
Gustavomagalhaes,"leuthier,danielcandidos,MatheusUehara",3,"NetoRodrigues,francoisMich,marcelorochape,ViniciusAcioly,robugos,raffaelvramos,danielcandidos,ThyagoAntonio,ChristianSpinelli,Daniel,Guilherme,clodoalvesjr,MichalPaszkiewicz,joaolucasbig,MatheusUehara,PhilippeAssis,BarbaLoira,leuthier,ItzLevvie,sheelalaxman,daividvasconcelosleal,lisansouza",21
rafaelgsm,"henriquemenezes,tcostam,flavindias",3,"guilhermebsa,tcostam,flavindias,henriquemenezes",4
wagnerbeethoven,"marcosisocram,grodrigues,pedroboudoux",3,"marcosisocram,pedroboudoux,grodrigues",3
RodrigoCastiel,"casevictor,bebetocf,phrps",3,"riuri,thiagowfx,caioteixeira,jtakeuchi,monolli,rvlb,19,casevictor,saulo,p,reych,rff255,llaryssa,vtcb,Viepe22,gllp,mguilhermetavares,phrps,bebetocf,goncamateus,higorlapa,lomcin,jdbratti,vieirajluis",22
Juniorlimaivd,"gabrieldluca,andreneto,AugustoQueiroz",3,"izaeleffemberg,lcfpadilha,hugombarreto,aghigo,eltonfs,ladsong,CarlosPena00,jeronimobs,iillx,lomcin,damorim,goncamateus,irbp,rllima,heitorrapela,VictorLealdeAlmeida,gabrieldluca,frsoares,marina,barros,AugustoQueiroz,btalyta,andreneto,adoniasvsbarros",23
pereiragislene,"simoneas02,roselmamendes,irgmedeiros",3,"q200981193,mauriciovieira,devmatheus,kalilmvp,marcwebbie,mariane,sm,simoneas02,thaisfreitas,MarcellaMoura,pmaia,irgmedeiros,rodrigoferrazazevedo,roselmamendes,pingf,shyba,gprestes,marcioroberto,cusspvz,jeffhsta,angusshire,henriquenasc,EmilyNemy,vrcca,gpedro,dalinhuang99",25
alexodrosgomes,"embs,santojon,cConectando",3,"embs,santojon,cConectando",3
danilosoares,"guiocavalcanti,julihermes,fernandopereira",3,"fernandopereira,guiocavalcanti,julihermes",3
ktquez,"deividazevedo2,oliveriojnn,saulobr88",3,"WillianMonteiro,vedovelli,angusshire,limatheus,deividazevedo2,gildniy,pisual,hitvox,lucasgolino,devdrops,cusspvz,theus,SoufianeAbid,toomastahves,swhgoon,rancui,murilolopes,aimwhy,wesleysaraujo,raisiqueira,andrewsfg,Shipow,fbngrm,Kushalexpert,evinw,yangshizi,alma4rebi,reverland,selimdoyranli,SanjithKanagavel,Vermisse,chenyoufu,janvalo,jeffegiovani,MartinBucko,santiblanko,juscilan,dukenst2006,Frewen,hernandev,Atinux,atorresbr,JoseCage,metinsut,wagnerssouza,carl,alberto,LauanGuermandi,cht8687,rohitpaulk,oliveriojnn,perborgen,saulobr88,bluemix,YuriFontella,trickstival,imandyie,tghelere,marceloavf,rcdosado,mstraughan86,cenaion,nandomoreirame,EclipseMain,caiofsouza,dalinhuang99,glo26,opengiineer,ablackstriker,anteriovieira,fridzema,bashilbers,marknemesis,rftHusn,Bunlong,falconsw,tiagomatosweb,aaaung,wsmatt,alexhiroshi,sogeniusio,wilcorrea,lucenarenato,vicbergquist",83
adrielcafe,"casevictor,AJS99,BenjamimRodrigo",3,"BenjamimRodrigo,FilipeSantana,DevenLu,tralphy,pranavlathigara,petrosian,bafsheh,DavidLeeBR,jonasagx,brenopolanski,Sonny2611,throwrocks,rabyunghwa,ArslanKathia,jeandersonbc,fukhaos,xingjiyihao,chenruibin,lizwangying,SuiTang,h124551753,willkernel,zhourihu5,iqiqiqi,IkoumaDevForEver,zyxyuanxiao,Moearly,KarthikPugal86,1836807765,lyc,changeworld,fireking0415,mrme2014,rupeshpadhye,jianghuashan,initLiu,daveb377,hy2012,kevinho,myheat,tonybright,PassionK,wmiaoa,AndroidPreView,casevictor,jonasporto,charlenopires,BazzaCuda,keniel123,AJS99,walmyrcarvalho,cherry,wave,nazirsinakazimi,gfreivasc,Tigresss,farhadfaghihi,thalissondev,yangpin,songnob,fenghailin1209,anilsangani,saulotoledo,Johnyoat,HocLT,maichanchinh,wang9090980,lcassiol,adrianobarros,opklnm102,frankfarias,alpha,leaf,dryaz,jhdmpp,randomaspirer,fabricelepro,bluemix,chnouman,lgwguang,dalinhuang99,AdnanSattar,bresan,meparam,ruhika,NerdFaisal404,natsupy,piyush,malaviya,LowApe,edu1345dev,icuihai,humazed,TwoBirdsChai,eterrao,thangnguye,shaoshuai904,caoshengsheng,allancarlos123,lenilsonjr,fernandohbrasil,hjfeilg,jaysowen,ks228,bl3arabi,romaomatt,hele,jeremy",103
esdrascosta,"mirjahal,carlosvictor,diegocamara",3,"danielvdantas,FilipeDelCesare,marciliojr,mirjahal,diegocamara,leandrooguit,angusshire,deivisondfs2,ahdncordeiro,vrcca,hugomenezes,carlosvictor",12
daniellqueiroz,"lipse,gpb,aldeniolima",3,"brenocunha,m0nad,ludmilaGuimaraes,gpb,lipse,phpenterprise,ahmaddoski145,angusshire,ambodi,pisual,RogerFederer03,ReidHolmes,mstraughan86,vkandola,MKanbaz,bitmote,rftHusn,aldeniolima,rafaelpierre",19
juliosmelo,"gileno,arthuralvim,sfilhu",3,"gileno,jamersonsilva,rafaelqueiroz,luish,arthuralvim,jadsonsol,thulioph,sfilhu,pedrowborges,vvirumbi,kkar",11
douglas-queiroz,"allanragec,AlexSoaresDeSiqueira,jhdavino",3,"mstred,jadsrocha,GustavoRSBarbosa,MoraisIgor,martinfontaine,haroldogtf,allanragec,AlexSoaresDeSiqueira,thulioph,jhdavino",10
leoreinaux,"macm3,khurama,khurama",3,"angusshire,khurama,wagnerfs1989,KevinHock,macm3,happyhero0,Kick1986,hoangton,flaviod,sejas,kanamouru123",11
sudorafa,"IsmaelGomes,marconemm",2,"marconemm,rafafreitas,IsmaelGomes,LeandroOliveirADS,laisvidoto1994",5
gilesv,"aacgn,eduardosm7",2,"SpikeLee96,aacgn,eduardosm7,Bunlong",4
andreneto,"Juniorlimaivd,caionovaes",2,"caionovaes,llaryssa,bruaways,mguilhermetavares,Lucas,CardosoO,ladsong,naftalima,Juniorlimaivd,marina,barros,affsvelho",10
marcoshmendes,"arthurmichel,lucianojsjr",2,"apandrade,gabrielgpa,lucianojsjr,Pe,Ferreira,arthurmichel,raphaelramalho",6
tonnyvx,"rennanmoura1990,guilhermebrandao",2,"guilhermebrandao,rennanmoura1990,PedroLimaHS,laisvidoto1994",4
daniloBlera,"leuthier,carvalhodj",2,"dayannec123,leuthier,carvalhodj",3
marcosisocram,"pedroboudoux,wagnerbeethoven",2,"bunomonteiro,Zzeris,itanaua,pedroboudoux,Alive,AttemptTheLifeGangHouse,martindale,zenzenzen,apugeat,gabrielpconceicao,brunocasanova,cusspvz,SuriyaaKudoIsc,tigefa4u,VagrantStory,moha,lanser,87,sirinath,velihamza,Zabeah,AlexxNica,wagnerbeethoven,CikerDeveloper",21
jcrbsa,"alsmoreira,alexjosesilva",2,"vmk512,alsmoreira,ezrra,alexjosesilva",4
thiagoprazeres,"Gustavomagalhaes,leuthier",2,"Chucky122,cusspvz,ivanknow,VagrantStory,Gustavomagalhaes,bitDragan,leuthier,lysik,joaolucasbig,dalinhuang99",10
rafaelmotaalves,"lucasbarross,luanbrito7",2,"lucasbarross,ggml1,joaossmacedo,luanbrito7,gabrielpessoa1,Lucas,CardosoO",6
caiocaladoo,"lucasbiagini,pnasc",2,"DirleiDionisio,tbbruno,igorlira,jessica,rmo,lucasbiagini,igormatos,zunairmushtaq,pnasc,mguilhermetavares,thiagopart",10
victorfsf,"arthuralvim,matheuslins",2,"elsonrs,arthuralvim,Durvalll,angusshire,Tiago,Lira,JonnatasCabral,toxtli,cusspvz,wsacin,alessandroHenrique,AvynerLucena,matheuslins,zking77,jorgehclinhares,dalinhuang99,opengiineer,Rielson,Leandro,magsouza,rftHusn,pauloromeira,visioncl,brunoresende1991,KevinHock,jonatasbaldin",24
izaiasavila,"carlosvictor,jhdavino",2,"carlosvictor,jhdavino,rafaelcam",3
ledebour,"raafaelima,MrRickSan",2,"raafaelima,charlenopires,DavidMilberg,filepi,mushi720,MrRickSan",6
heitorpaceli,"alsmoreira,alexpessoajr",2,"alexpessoajr,jake100,dalinhuang99,alsmoreira",4
fms6,"renatoosousa,rlom",2,"rlom,ajmbf,cstiano,jprmoisakis,renatoosousa,casc2",6
tpmarcs,"hamorim,lpmourato",2,"D132,cusspvz,MichalPaszkiewicz,lpmourato,hamorim,dalinhuang99",6
guinetik,"sfilhu,thiagotargino",2,"thiagotargino,thulioph,sfilhu,danthemango",4
fchicout,"mateusrevoredo,sudorafa",2,"tacsio,tamimibrahim,victorbernardo,Jedilson,brunopereiraXD,FernandaAmanda,mateusrevoredo,JonAlves,AglailsonAmorim,mclaara,rodrigux,EllaineSilva,valdeniocarvalho,sergiotravassos,scr34m0,stersylva,sudorafa,ferreiralisson,LeandroOliveirADS,laisvidoto1994,Wellvergton,CastroArrudaBeatriz,Fab2295,CapsL0rd",24
WilbertoFilho,"tcostam,atilarec",2,"atilarec,tcostam",2
raisagalindo,"corallocatelli,AnnyChien",2,"corallocatelli,Letisouza,AnnyChien,helenafs",4
giuliosa,"simoneas02,ronaldoveras",2,"joliejoker,simoneas02,ronaldoveras",3
pedroboudoux,"marcosisocram,wagnerbeethoven",2,"marcosisocram,frenetic,barkinet,wagnerbeethoven",4
rennanmoura1990,"guilhermebrandao,tonnyvx",2,"marcus817,guilhermebrandao,tonnyvx,rotiliob,crisfmartinelli,PedroLimaHS,laisvidoto1994",7
rbm4,"mangueBit,LGR3",2,"mangueBit,LGR3,jorgepauloS,KevinHock,rafamoohtech,brunoguerra,leoschet",7
rhnasc,"henriquemenezes,peaonunes",2,"HiagoMayk,igorrfc,izaeleffemberg,andrezacm,henriquemenezes,ottony,peaonunes",7
joaopaulosama,"yelken,klaytoncavalcante",2,"yelken,klaytoncavalcante,FrndoSouza",3
mangueBit,"rbm4,ess2",2,"marlonwc3,luiz,reis,rbm4,TMotaBastos,acff,amrm121,ess2",7
brunosouza,"luiztiago,medeirosrod",2,"rodrigomuniz,eduardojvrocha,medeirosrod,rodrigopaiva,luiztiago,luizbatista,KevinHock",7
feliperp-81,"victorlaerte,allanragec",2,"allanragec,douglas,queiroz,shinnlok,victorlaerte",4
UdneyCarvalho,"carvalhodj,vmms16",2,"joaovitor7,vmms16,carvalhodj",3
tonidas,"Cisneiros,peaonunes",2,"jslack,thiago182,yagonobre,Cisneiros,ottony,peaonunes",6
ThomazFB,"mateusrevoredo,ThaisaMirely",2,"GuiLucena,BrunoABdeMelo,LeighFedlimid,mateusrevoredo,angusshire,ThaisaMirely,mushi720,Linux,Player,jcaacar,dalinhuang99,lucaslra,romulogmp",12
consensotec,"moisespalma,sabrinagmcruz",2,"moisespalma,vivisousa,brunooliveira,wellingtonasilva,charlenopires,sabrinagmcruz,joaofds",7
ricardowendell,"roselmamendes,rasoliveira",2,"marcwebbie,roselmamendes,rasoliveira,tassiaspinelli,mauriciovieira,cv,edu,bot",7
rpragana,"henvic,lipse",2,"lipse,dexygen,henvic,leonardovaz,danielAlbuquerque,helderam,renanbastos93,ruidias10,andreaweb,alfredbaudisch,higorcesarqn,audrincp,brunowdev,evandojunior,mtsgeneroso,brenopolanski,jhonatanpetronilho,jlozovei,renatojusto,guigalmeida",20
wfsneto,"deyvisonrocha,julihermes",2,"antonio55,deyvisonrocha,julihermes,nrayann,tchellosilveira,EletroHumano,carlosjuchoa",7
adailsonfilho,"guilhermepaiva,feliperfmarques",2,"guilhermepaiva,feliperfmarques,Djeefther,marknemesis",4
felipedemacedo,"antoniocorreia,cleniomendes",2,"antoniocorreia,cleniomendes",2
alnp,"vanessa,amandasavluchinske",2,"vanessa,amandasavluchinske",2
BernardoHazin,"diegonvs,kevinbreaker",2,"diegonvs,kalecio,kevinbreaker,italobarrosv,marcosbarbosa031,francoisMich",6
PunishedBois,"igormp,AugustoQueiroz",2,"AugustoQueiroz,igormp",2
fecalemos,"felipedealbuquerque,filipeluiz",2,"prbrazil,felipedealbuquerque,filipeluiz,selimdoyranli,rjcfj,mstraughan86,cenaion",7
rcaferraz,"dvro,angelobrito",2,"angelobrito,dvro,paolo,de,rosa,pmaingi,ahmetabdi",5
Augusto94,"matheuslins,pedrojsn96",2,"pedrojsn96,matheuslins,chnmel0",3
fabiorush,"santojon,FlavioCastroFilho",2,"santojon,FlavioCastroFilho",2
jctvEC,"almdac,EduardoFreit",2,"vadakkan,mateuschaves,SenhorN,almdac,EduardoFreit",5
erickapsilva,"AlexSoaresDeSiqueira,andrelarruda",2,"AlexSoaresDeSiqueira,GabrielCoelho,andrelarruda",3
saulolso,"luiztiago,luizpaulogodoy",2,"luiztiago,FCostaBR,fernandosouza,luizpaulogodoy,KevinHock",5
tiagotrigo,"luizpaulogodoy,jmignac",2,"jmignac,rhchristian,luizpaulogodoy",3
LGR3,"rbm4,Leviterus",2,"rbm4,patrickmariz,KevinHock,Leviterus,lfp2",5
neryluc,"mirjahal,matheusFTC",2,"vrcca,deivisondfs2,mirjahal,jfranciscos4,matheusFTC",5
WilliamRoger,"lucascmelo,gildoneto",2,"Prachisharma13,marknemesis,lucascmelo,Gabrielksi,gildoneto",5
