Member,Owner
sostenesfreitas/projetoFinal,"guilhermebrandao/ads,guilhermebrandao/Manipula,guilhermebrandao/ProjetoPSC,guilhermebrandao/TratarOcorrencia"
edumarcelino/br.ufpe.cin.mlp.fss.pso,"rmd2/ExData_Plotting1,rmd2/Getting-and-Cleaning-Data,rmd2/processamentoImagens,rmd2/RepData_PeerAssessment1,rmd2/spark-kaggle-sentiment,rmd2/spring-petclinic,rmd2/super-heroes"
"eap3/MinWeb,gppeixoto/JPBackEnd,gppeixoto/JPFrontEnd,LuizVasconcelos/Born-To-Command,rafaelfccg/ProjetoComunicacao,rafaelfccg/taia_final_project,timtaylorosu16/ChuckMyPhone","jpedrocm/DSChallenge,jpedrocm/GeoBrain,jpedrocm/ir-project,jpedrocm/MinWeb-final-project,jpedrocm/Musicer,jpedrocm/nlp-final-project,jpedrocm/nlp-task01,jpedrocm/nlp-task02,jpedrocm/OpenWeatherApp,jpedrocm/PronounceLearner,jpedrocm/taia-01,jpedrocm/taia-02,jpedrocm/YouCook"
"pitangagile/chatbot,rodrigonunesc/site-guit","carlosvictor/ACA-starcraft,carlosvictor/app-layout,carlosvictor/concrete-nodejs-challenge,carlosvictor/desafio-android,carlosvictor/losdbas,carlosvictor/studying-swift,carlosvictor/vision"
,"mariojor/AchaAQUI,mariojor/agendaAndroid,mariojor/Alga,mariojor/AluraMEAN,mariojor/alurapic,mariojor/AluraServlet,mariojor/Angular-2,mariojor/AngularSpring,mariojor/AtualizandoWS,mariojor/CarrosselJquery,mariojor/curso-angular-rest-spring-boot-ui,mariojor/diadia,mariojor/EasyRoomDev,mariojor/ejb-alura,mariojor/EncontrarFacil,mariojor/GameSuperGabriel,mariojor/garconapp,mariojor/JPA-Alura,mariojor/jstl-alura,mariojor/ProjetoPessoal,mariojor/site-pessoal,mariojor/SpringCasaDoCodigo,mariojor/WebServiceEasyRoom"
"gppeixoto/JPBackEnd,gppeixoto/JPFrontEnd,gppeixoto/projetogdi,mmfrb/InfraCom,racevedoo/aspect-stock-manager","lapl/AtividadeESS,lapl/Bootloader,lapl/HackerRank,lapl/HardL1,lapl/lapl.github.io,lapl/Maratona,lapl/SoftL1"
"DanielMaida/s3mInstaller,delaevernu/astfinder,delaevernu/delaevernu.github.io,delaevernu/gitconflictsextractor,fbenbassat/rgms,prga/GremlinQuery","guilhermejccavalcanti/blueprints,guilhermejccavalcanti/dagger,guilhermejccavalcanti/fastjson,guilhermejccavalcanti/flyway,guilhermejccavalcanti/GitCE,guilhermejccavalcanti/GitMergesMiner,guilhermejccavalcanti/gitminer,guilhermejccavalcanti/GremlinQuery,guilhermejccavalcanti/HikariCP,guilhermejccavalcanti/hive,guilhermejccavalcanti/jackson-databind,guilhermejccavalcanti/jdime,guilhermejccavalcanti/jFSTMerge,guilhermejccavalcanti/metrics,guilhermejccavalcanti/mongo-java-driver,guilhermejccavalcanti/MRFinder,guilhermejccavalcanti/nutz,guilhermejccavalcanti/plp,guilhermejccavalcanti/rgms,guilhermejccavalcanti/sourcediffjdime,guilhermejccavalcanti/sourceeis,guilhermejccavalcanti/ssmerge,guilhermejccavalcanti/WALA,guilhermejccavalcanti/WorldEdit"
,"megazord/avaje-ebeanorm,megazord/funcy,megazord/play-ebean,megazord/playframework,megazord/reactivemanifesto"
,"diogo10/Android-Round1,diogo10/AndroidUtils,diogo10/DBFlow,diogo10/DefesaCivilOlinda,diogo10/HelloWorld1ASPER,diogo10/JsUtil,diogo10/mlogin,diogo10/mmenu,diogo10/MobileLearning,diogo10/morders,diogo10/mproducts,diogo10/msample,diogo10/parse-javascript-datatable,diogo10/PhotoCropper,diogo10/PitchPerfectUdacity,diogo10/pokefight,diogo10/projetosdelei,diogo10/SAMU,diogo10/SAMUPE-FIREFOX,diogo10/ShowcaseViewLibrary,diogo10/Sunshine,diogo10/SwiftUtil,diogo10/testBroadcasts,diogo10/testKotlin,diogo10/testServices,diogo10/unirest-java"
"albertmourato/estoque,eduardoluiz7/projeto-DataScience,hitallocavas/Loggus,if1015-datascience-ufpe/2018-1-ex2-wba25,mstn1/compiladoresIF688","wba25/aBoard-website,wba25/Algorithms,wba25/Compiladores,wba25/Data_Structures,wba25/estoque,wba25/foundations,wba25/Functional_Programming,wba25/GDI,wba25/MIPS_Assembly,wba25/Multimidia,wba25/PLC,wba25/Processamento-Grafico,wba25/Threads_POSIX,wba25/VagasDeEstacionamentoToy,wba25/VagasDeEstacionamentoToy-1"
,"ArthurLCastro/ArthurLCastro.github.io,ArthurLCastro/modulos-arduino,ArthurLCastro/oficina-arduino,ArthurLCastro/projetos-arduino,ArthurLCastro/Python,ArthurLCastro/SunFlower"
"gleybsonf/batutaMidi,laboca/Sem-Titulo-No-1,nataliacabral/ControladorDinamico","filipecalegario/autotimelapse,filipecalegario/ControladorDinamico,filipecalegario/ExpRecifeInfoVis,filipecalegario/kinectGesture,filipecalegario/pd-cyclone,filipecalegario/piracontroller,filipecalegario/poeiratumta,filipecalegario/probatio,filipecalegario/Proto1,filipecalegario/SortImagesByColor,filipecalegario/test"
,
,
,"Uirado/Compilador,Uirado/eslint-plugin-react,Uirado/exercicios_SQL,Uirado/MercadoDeBolso,Uirado/minigame-aviao-arduino,Uirado/ProjetoOpenGL,Uirado/UnicapMaps"
,
"Avanaa/elivreApp,Avanaa/elivre_android","marcelogalvao/ART,marcelogalvao/chrome_preencher_campos,marcelogalvao/clmtrackr,marcelogalvao/curso-typescript-angular,marcelogalvao/form-validation,marcelogalvao/front-in-recife,marcelogalvao/libs,marcelogalvao/programacao-claro-tv,marcelogalvao/recife_valley,marcelogalvao/represent-map,marcelogalvao/tableless-static"
,israeljunior/react-slack
,"DaviBarros/Advance-Android-Tutorials,DaviBarros/android_guides,DaviBarros/angularcrud,DaviBarros/angular_site,DaviBarros/chat,DaviBarros/conversordemoedas,DaviBarros/dashboard,DaviBarros/gerenciadordetarefas,DaviBarros/instagram_clone,DaviBarros/jogodavelha,DaviBarros/laravel,DaviBarros/mmorpg"
,"jctvEC/classes_RubyOnRails,jctvEC/dash-nova-teste,jctvEC/listadehardware,jctvEC/meatApp"
,"eduardobaia/alertWeather,eduardobaia/angular-module-dellas,eduardobaia/dellas,eduardobaia/dellas-frontend,eduardobaia/javabe,eduardobaia/learningSpringBoot,eduardobaia/salestax,eduardobaia/SpringAndHibernatePersistence,eduardobaia/springboot-angular,eduardobaia/springboot-rest-dellas"
,"saulolso/active_admin,saulolso/FormtasticSample,saulolso/MultilpleModelFormSample,saulolso/rails_admin_sample,saulolso/spree_demo,saulolso/teste,saulolso/TextInputEffects,saulolso/xmpp4r"
"igormatos/techtalk-leaflet,pedrotorchio/visualizacao-mapaderotina,Stimfarmer/Medic-App","Rom7/Ant_Ivy,Rom7/CMoveis-projeto,Rom7/cours_git,Rom7/hello_world,Rom7/ProjectMaven,Rom7/rcm6-visualizacao_ufpe_2017_2_listas"
brunohgv/Test-Pokemon,"pablostellet/ASP.NET-MVC5-AngularJS-SPA,pablostellet/BasicWpfWithoutXaml,pablostellet/escoladobem,pablostellet/JavaRestMockGenerator,pablostellet/kotlin-selenium-testng,pablostellet/Learn-DesignPatterns,pablostellet/Learn-NodeJasmineKarma,pablostellet/NetCore-Oauth-JWT-REST-Angular4,pablostellet/node-mongo-HeroQuotes,pablostellet/react-exercises,pablostellet/react-js-front,pablostellet/reactjs-todoapp,pablostellet/SPA-MVC-AngularJS,pablostellet/teampenha,pablostellet/webpacks-test,pablostellet/WPF-Application,pablostellet/XamarinMarathon"
"rafaelroballo2/pigeon,rafarocha/pigeon,rkulesza/pigeon","jamilsonbatista/Android,jamilsonbatista/android-actionbar,jamilsonbatista/Android-Dashboard-UI-Pattern,jamilsonbatista/Android-File-Manager,jamilsonbatista/android-xades-signer,jamilsonbatista/AndroidTestWorkshop,jamilsonbatista/awesome-social-impact,jamilsonbatista/BandDetection,jamilsonbatista/cloud-pubsub-grpc-android,jamilsonbatista/cloud-pubsub-samples-java,jamilsonbatista/CoreNLP,jamilsonbatista/cryptoclient,jamilsonbatista/cw-lunchlist,jamilsonbatista/data-algorithms-book,jamilsonbatista/elasticsearch5-example,jamilsonbatista/facebook-android-sdk,jamilsonbatista/glowroot,jamilsonbatista/google_pacman,jamilsonbatista/gs-relational-data-access,jamilsonbatista/guia-de-desenvolvimento-tecnico,jamilsonbatista/highcharts.com,jamilsonbatista/iOS,jamilsonbatista/jQTouch,jamilsonbatista/jquery-mobile,jamilsonbatista/mapd-core,jamilsonbatista/Memory-Game,jamilsonbatista/NewQuickAction,jamilsonbatista/PersistenceDroid-,jamilsonbatista/phonegap,jamilsonbatista/phonegap-android,jamilsonbatista/pigeon,jamilsonbatista/rover,jamilsonbatista/scala_workshop,jamilsonbatista/SDK,jamilsonbatista/sentence-compression,jamilsonbatista/spaghetti-base,jamilsonbatista/spazcore,jamilsonbatista/spring-data-jdbc-repository,jamilsonbatista/SpringBoot-ElasticSearch,jamilsonbatista/statistics-correlation,jamilsonbatista/tableless-site.github.com,jamilsonbatista/test,jamilsonbatista/textrank,jamilsonbatista/tutorials,jamilsonbatista/ubee-maps-example,jamilsonbatista/workshop-MVVM"
pereiragislene/SlackPairBot,"neryluc/arduino-project,neryluc/c-exercises,neryluc/coursera-tdd-ita,neryluc/data-structures-and-algorithms-in-c,neryluc/ip_2,neryluc/java_8_certification_study,neryluc/mars-rover-problem,neryluc/maven-project,neryluc/pratica-github,neryluc/spring-boot-rest-api,neryluc/StarWarsIntroCreator,neryluc/tdd-tutorial"
MarcondesRicarte/tiagonav,"feliperfranca/Android-CRUD,feliperfranca/Caldinho-do-Pedrinho---Site,feliperfranca/Comic2PDF,feliperfranca/creative-theme-jekyll,feliperfranca/Django-CRUD,feliperfranca/django-nonrel-example,feliperfranca/django-openshift-example,feliperfranca/feliperfranca.github.io,feliperfranca/FelipeRFranca_site,feliperfranca/githubpage,feliperfranca/james_ws,feliperfranca/JavaCRUD,feliperfranca/JSF-CRUD,feliperfranca/JSP-CRUD,feliperfranca/JUnitEstudos,feliperfranca/msr-student-template,feliperfranca/Python-CRUD,feliperfranca/sharelatex,feliperfranca/wordpress-heroku"
"RNAndrade/Mobile-CC1N,thiagosoara/CC1_NOITE2","mauLeal/algoritmos-COBOL,mauLeal/arquitetura-camadas,mauLeal/atividade-ITA,mauLeal/atividades-livro-primeiros-passos-com-react,mauLeal/boilerplate,mauLeal/building-application-with-nodejs-book,mauLeal/calculadora-IPTU,mauLeal/camera-react-native-exemplo,mauLeal/chart-with-reactjs,mauLeal/contatos,mauLeal/countdown_champ,mauLeal/crud-java-web,mauLeal/daily-management,mauLeal/financas,mauLeal/Front-project,mauLeal/google-maps-distance-matrix-api,mauLeal/hibernate,mauLeal/mern-stack,mauLeal/node-api-rest,mauLeal/pro-fac-demo,mauLeal/react-native,mauLeal/react-native-calendars,mauLeal/site-bootstrap,mauLeal/social-media,mauLeal/stack-drawerNavigator-example"
PNardelli/EstudioApollo,"WilliamRoger/blog-william-roger-quarentena-,WilliamRoger/Bookmarks,WilliamRoger/curso-bootstrap4,WilliamRoger/curso-docker,WilliamRoger/curso-javascript-ninja,WilliamRoger/curso-php-basico,WilliamRoger/docker-para-desenvolvedores,WilliamRoger/ec-connect,WilliamRoger/Estudo-jQuery---01,WilliamRoger/Exercicios-POO---JAVA---Faculdade,WilliamRoger/facebook-interface,WilliamRoger/Full-Screen-Slider-CSS-,WilliamRoger/Game-Typer,WilliamRoger/Gerenciador-de-Tarefas-PHP-,WilliamRoger/gerenciador-tarefas,WilliamRoger/hotsite-PJ-Uniformes,WilliamRoger/Lab-Front-end,WilliamRoger/linksuteis,WilliamRoger/meat-app,WilliamRoger/Menu-Mobile-com-JS,WilliamRoger/myFirstVueApp,WilliamRoger/NE-Implantes,WilliamRoger/ProjetoApollo,WilliamRoger/Projetos-Turbine-seu-CSS-com-SASS,WilliamRoger/site-bikcraft,WilliamRoger/site-bikcraft-responsivo,WilliamRoger/site-instituto-maestro-franca,WilliamRoger/Site-Sten-Ambiental,WilliamRoger/Tooltip-CSS-jQuery,WilliamRoger/vagas,WilliamRoger/williamroger.github.io,WilliamRoger/You-Dont-Need-Javascript"
"DayvsonWellerson/goToChurch,heliofsjr18/goToChurchMobileProject,heliofsjr18/PwSlideCrossPlataform,heliofsjr18/Solucao_Morada_da_Paz_Visual_Studio,victorbernardo/POO2016",jorgemarc/ProjetoSO
pvpatriota/discreta06,"rodrigojulianib/discreta03g03,rodrigojulianib/pnSim,rodrigojulianib/spacewar"
apljjr/donamo,"Daanielvb/cin-starcraft-ai,Daanielvb/coding-interview-university,Daanielvb/coursera-android,Daanielvb/kMeans,Daanielvb/mobile-ufrpe,Daanielvb/RBF_PSO,Daanielvb/responsivecalendar,Daanielvb/SES,Daanielvb/tcc"
,"FredMaranhao/fd-dictionaries,FredMaranhao/GCompris,FredMaranhao/GCompris-qt,FredMaranhao/o-rato-anderson,FredMaranhao/PLM,FredMaranhao/portuguese-flashcards"
"amnv/PCC_Projeto1,amnv/PCC_Projeto2,lfvg/ProjetoRI,mrov/virtual-devices,ruybrito106/distributed-system,ruybrito106/MiddlewareThree,tafm/ClienteIC,tafm/ProjetoIC,tafm/SI","wison27/AdAway,wison27/chat-group,wison27/checkservice,wison27/classifier,wison27/Custom-Linux,wison27/dfsa,wison27/lagrange,wison27/linux_on_chuwi_hibook_pro,wison27/MineraTwitter,wison27/mom-broker,wison27/mom-client,wison27/noroot,wison27/noroot-android,wison27/noroot-node,wison27/noroot-rn,wison27/PasswordResetHTML,wison27/PCC_Projeto1,wison27/PE,wison27/PI,wison27/reverse-proxy,wison27/ScreenFix,wison27/snake,wison27/steinsgate-patch-pc2android,wison27/steinsgate_android_ptbr,wison27/tasks_zmq,wison27/temperature-rabbitmq,wison27/temperature_zmq,wison27/TetrisHaskell,wison27/Tinfoil-Facebook"
,"jpedroh/calculo-numerico,jpedroh/mach,jpedroh/mach-api,jpedroh/watt"
"edenalsant/ProjetoIP,Lucas-CardosoO/HardwareProject_MIPS,lucasbarross/gfip","luanbrito7/chatP2P,luanbrito7/clinicaRogerioAntunes,luanbrito7/feedback-generator"
gcmatos/structural-geology-cookbook,"rafaelfvcs/droolsjbpm-build-bootstrap,rafaelfvcs/FeelingStockMarket,rafaelfvcs/FracGen,rafaelfvcs/FracGen-WebManager,rafaelfvcs/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,rafaelfvcs/StoryDesign"
,"geraldo7junior/-chega-,geraldo7junior/be-happy,geraldo7junior/caatinga-digital,geraldo7junior/caroll,geraldo7junior/chefftoga,geraldo7junior/curtindo-recife,geraldo7junior/geraldo7junior.github.io,geraldo7junior/gooter,geraldo7junior/ldap,geraldo7junior/mercadonline,geraldo7junior/php-statistic,geraldo7junior/processo-2013-1-crud-equipe-impar,geraldo7junior/python-rtm-algorithm,geraldo7junior/recife-games,geraldo7junior/scc-mobile,geraldo7junior/sir-model,geraldo7junior/sw-school,geraldo7junior/teste-phonegap,geraldo7junior/testeBP,geraldo7junior/vacina-pet,geraldo7junior/vacinacao-recife"
"antero/auctions,pablosampaio/EVOLUTIONARY-PATROLLING,rcpf/exercicio1,rcpf/iir_project,rcpf/search_engine","vitordeatorreao/acadjimia,vitordeatorreao/amproj,vitordeatorreao/artigorv,vitordeatorreao/ArvixSearchEngine,vitordeatorreao/bcc-tcc,vitordeatorreao/bcgproject1,vitordeatorreao/bcgproject2,vitordeatorreao/datasciencecoursera,vitordeatorreao/datasharing,vitordeatorreao/GAProject,vitordeatorreao/jMCS,vitordeatorreao/jMetal,vitordeatorreao/lista2rp,vitordeatorreao/lista3rp,vitordeatorreao/marketplace-metadata,vitordeatorreao/omsec,vitordeatorreao/oncase.github.io,vitordeatorreao/projetoRP,vitordeatorreao/pyRecog,vitordeatorreao/rii_wrapper,vitordeatorreao/sdbracis18,vitordeatorreao/stsproj,vitordeatorreao/travis-broken-example,vitordeatorreao/vimconfig,vitordeatorreao/zedmenu"
"carvalhodj/MakerPriceUFRPE,joaovitor7/Claket,jonathan-carvalho/Irrigacao-Automatizada,lp-data-science/projeto-emprego-crime,wellington16/RSI-PSD","vmms16/Aeroporto-DW,vmms16/AppBluetooth,vmms16/Disce2,vmms16/Engenharia-de-Software,vmms16/Linguagens-de-programa-o,vmms16/MonitoriaIP,vmms16/ParadaDesce,vmms16/Projeto-PSD-RSI,vmms16/ProjetoBD,vmms16/ProjetoIrrigacao,vmms16/ufrpe_bsi"
,"danielfsbarreto/agile-experiences,danielfsbarreto/codility,danielfsbarreto/cucumber-capybara-training,danielfsbarreto/projeto-tcc,danielfsbarreto/property-based-tests,danielfsbarreto/railsgirlsguides,danielfsbarreto/tcc,danielfsbarreto/tccBruna,danielfsbarreto/terminal-shenanigans,danielfsbarreto/vcr"
"vitoralb/ConcretID-HW,vitoralb/Organizamerica,vitoralb/projetoEdna","marcelolima/AndroidSetupWizard,marcelolima/automator-log-converter,marcelolima/ble-contiki-linux-app,marcelolima/django-react-chat,marcelolima/dot-files,marcelolima/estelle-blog,marcelolima/eventex-marcelolima,marcelolima/express,marcelolima/go-sqlite3,marcelolima/leasing_contracts,marcelolima/leasing_contract_generator,marcelolima/mean-chat,marcelolima/motion,marcelolima/openpyxl,marcelolima/presence-sensor-server,marcelolima/RainRadar,marcelolima/raspberrycam,marcelolima/react-redux,marcelolima/serenata-de-amor,marcelolima/test,marcelolima/TimeRecordingApp"
"ovictoraurelio/awesome-bootloader,pdssf/Bank_account","jgfn1/algorithms,jgfn1/gen,jgfn1/gunstore_database,jgfn1/haskell,jgfn1/pthreads,jgfn1/scripts,jgfn1/sql,jgfn1/webdev,jgfn1/x86"
marvson/Freebage,"davidrft/collinear,davidrft/deques-and-randomized-queues,davidrft/domino,davidrft/elgamal,davidrft/Eureka,davidrft/hack-assembler,davidrft/percolation,davidrft/Phonebook,davidrft/PyOscilloscope"
,"matequeiroz/casafina,matequeiroz/controle-js,matequeiroz/estoque,matequeiroz/FriSabor-Page,matequeiroz/orlandocity,matequeiroz/sou-publicador-api"
"GSCguilherme/Stock,IsmaelGomes/poc_imHungry,marconemm/Atv_PSC_FormaGeometrica,marconemm/Atv_PSC_Funcionarios","sudorafa/agenda.descarregos,sudorafa/AndroidBookNGlauber,sudorafa/AndroidConversorMoedaUdemy,sudorafa/AndroidExercicio1Facul,sudorafa/AndroidExercicioActivitiesIntentsFacul,sudorafa/AndroidExercicioAsyncTasksJSONFacul,sudorafa/AndroidExercicioFragments,sudorafa/AndroidExercicioLayoutsFacul,sudorafa/AndroidExercicioViewsFacul,sudorafa/AndroidFestaFimDeAnoUdemy,sudorafa/AndroidHellowordFacul,sudorafa/AndroidMeusCarrosUdemy,sudorafa/AndroidPhotickerUdemy,sudorafa/AndroidRelogioDeCabeceiraUdemy,sudorafa/compras,sudorafa/confinado,sudorafa/ControlC,sudorafa/controle_de_impressao,sudorafa/dominando_android,sudorafa/GCIN,sudorafa/IntranetSys,sudorafa/MyJson,sudorafa/objective-c-style-guide,sudorafa/poc_imHungry,sudorafa/recargass,sudorafa/sacolas,sudorafa/SalaoBeleza,sudorafa/salao_,sudorafa/VisitaBR"
,victoracioli/eventgraph
"rafoli/hackathon-TmJ,victorlaerte/liferay-omnihackathon-android","manoelcyreno/Android-Study,manoelcyreno/hackathon-TmJ,manoelcyreno/lessteps,manoelcyreno/lfrgs-selenium-commons,manoelcyreno/lfrgs-test-framework,manoelcyreno/lfrgs-tests-samples,manoelcyreno/liferay-blade-samples,manoelcyreno/TelegramBotStudy"
"marconemm/Atv_PSC_FormaGeometrica,marconemm/Atv_PSC_Funcionarios,marconemm/Atv_PSC_Futebol,matheuscoelho7/WebLibrary,rafafreitas/catraca_web_app","IsmaelGomes/ExerciciosAndroid,IsmaelGomes/hello-world,IsmaelGomes/poc_imHungry"
,"ivanAndrade/Cahier_Mobile_Version_1.0,ivanAndrade/dotfiles,ivanAndrade/Repositorio-Ivan_MGR,ivanAndrade/try_git"
"guilherme-rdnascimento/LocadoraJogos,iuryamaral1/projetoweb3","frog789/dcsLocadora,frog789/dscProjeto2018.1,frog789/dwmNode,frog789/FarmaciaDSC,frog789/projetoDSC,frog789/projeto_web3"
"pedrojsn96/hackdeira-thinking,ValdiJr/gerenciadorFinanceiro,ValdiJr/JavaCinemaBD,ValdiJr/Projetao","jbsn94/desafio,jbsn94/if1006,jbsn94/if1007,jbsn94/if1007-Microservices,jbsn94/jbsn,jbsn94/projeto01,jbsn94/SmartCase,jbsn94/spring-petclinic,jbsn94/userinterface"
,"fabiorecife/activeweb,fabiorecife/AdminLTE,fabiorecife/AdminLTE-angular2,fabiorecife/angular2-quickstart,fabiorecife/angular2-tour-of-heroes,fabiorecife/atom,fabiorecife/awesome-delphi,fabiorecife/blog,fabiorecife/ButterFaces,fabiorecife/cpf-cnpj-js,fabiorecife/cubesviewer,fabiorecife/cubesviewer-server,fabiorecife/effective-java-examples,fabiorecife/fabiorecife.github.io,fabiorecife/fan.tools,fabiorecife/forge-dist,fabiorecife/free-for-dev,fabiorecife/front-end-handbook-2018,fabiorecife/gwtbootstrap3,fabiorecife/hyper,fabiorecife/itext2,fabiorecife/jscapture,fabiorecife/JSONfan,fabiorecife/loopback-connector-couch,fabiorecife/loopback-connector-postgresql,fabiorecife/Parse-SDK-JS,fabiorecife/parse-server,fabiorecife/perk,fabiorecife/primeng,fabiorecife/qrgen,fabiorecife/Recursos-NFE-em-Python,fabiorecife/sandbox-101,fabiorecife/simple-webpack-example,fabiorecife/simpleweb,fabiorecife/vue-datepicker,fabiorecife/vue-event-calendar,fabiorecife/vuejs-router-example,fabiorecife/WebApp101"
GabrielSMarques/SD-Project-2,romildojuliano/citacoes
gustavoluciocampos/interactive-network-graph,"raphaelmonte/Node-Quickstart,raphaelmonte/SinkMVC,raphaelmonte/sinkmvc-medium-code"
"aleworkout7/frontend,leticiamatos/facebookcam_peo_2channels,leticiamatos/qgdoenem_video,magnojg/fbcam-qgdoenem,magnojg/Proccess","willfelix/angular_rails_poc,willfelix/ChatSocketJava,willfelix/ejb_poc,willfelix/es6_poc,willfelix/FB_LikeVerification,willfelix/Heuristic-Searches,willfelix/Image-Processing,willfelix/mea4n_poc,willfelix/myHabbits,willfelix/Neural-Network,willfelix/NinjaBluetooth,willfelix/oh-my-zsh,willfelix/Pushit,willfelix/scrumm,willfelix/willfelix.github.io"
"efraibo/compiladores,efraibo/project_inteligecia_artificial","pricardoti/curso-html5-css-js,pricardoti/Java-Socket-Transfer-ncia-de-Arquivos-pela-Rede,pricardoti/Linguagem-de-Programacao-Lua,pricardoti/lista-telefonica-angularjs,pricardoti/maratona-jsf,pricardoti/maratona-jsf-1,pricardoti/Memcached-for-web-application-optimization-with-php,pricardoti/project-composer,pricardoti/SGF"
"ademirNeto/pocketplanner,brunomoura/maketeam2,juliosmelo/healthhack","victorpluna/Angular-MaterialAdmin,victorpluna/angular-uploadBtn,victorpluna/bemind-test,victorpluna/django-mp,victorpluna/djangorest-skel-api,victorpluna/epi-coins,victorpluna/gerador,victorpluna/meucandidato,victorpluna/oferclub,victorpluna/payment-server,victorpluna/react-native-pedometer,victorpluna/react-native-pedometer-test,victorpluna/rede_social,victorpluna/rueda,victorpluna/search_college,victorpluna/temp-js"
"ebreimer/siena-iat-2016,henvic/redu-specs,jailsonsilvajr/ShowUp,jenhogan/jenhogan.github.io,JoaoSant0s/gestaoAtletas,JoaoSant0s/PreysUpon-visualizacao-2017-1,JoaoSant0s/redu,tlangton123/Lab-3","lucasbiagini/aerogroup,lucasbiagini/ali,lucasbiagini/csis-400-machine-learning,lucasbiagini/GA,lucasbiagini/Instagram-API,lucasbiagini/MiniAds,lucasbiagini/OpenRedu,lucasbiagini/PG,lucasbiagini/siena-iat-2016"
,"davidhsv/accessibility-developer-tools,davidhsv/Accessible-Mega-Menu,davidhsv/angular.dart,davidhsv/artigo_analise_acessibilidade_100_sites_brasil,davidhsv/atom-open-terminal-here,davidhsv/BabySelfie,davidhsv/CookieCadger,davidhsv/cordova-plugin-fcm,davidhsv/curso-git,davidhsv/davidhsv.github.io,davidhsv/davidvieira.digital,davidhsv/deep-learning,davidhsv/DLND-your-first-network,davidhsv/doodle-js,davidhsv/Easy-Layouts-with-Flexbox,davidhsv/firetube,davidhsv/FJ26,davidhsv/frontend-nanodegree-mobile-portfolio,davidhsv/gitlabhq,davidhsv/guiabolso2csv,davidhsv/guidelife,davidhsv/guidelife2,davidhsv/jee6poc,davidhsv/mousewebsocket,davidhsv/phonegap-plugin-push,davidhsv/php-snapchat,davidhsv/plataopoc,davidhsv/promogag,davidhsv/repositorio,davidhsv/sentiment_analysis_comparison_dlnd,davidhsv/shipping-costs-sample,davidhsv/stubby4node,davidhsv/substeps-core,davidhsv/test321,davidhsv/teste1,davidhsv/thing-translator,davidhsv/Toast-PhoneGap-Plugin,davidhsv/trt6common,davidhsv/whatsapp-phonegap-plugin"
"rafjordao/P2Prova,rbm4/Payportal-Cptcambio-web,wmof/projetobd","LGR3/CIn9-SGI,LGR3/Datametrica_Chat,LGR3/django_shortner,LGR3/Genomika_MenorSuperStr.Py,LGR3/Google_Lanes_Hackathon,LGR3/GPE_Markdown_Coaching,LGR3/GPP_da_ProDeaf,LGR3/LGR3.github.io,LGR3/MyMaps,LGR3/ProfChapolin,LGR3/RailsView,LGR3/Realtime_SearchBox,LGR3/SIGRA-Rails-Tutorial"
"pernambucano/cadastroAccentureProjeto,pernambucano/multirApp,simpleanduseful/clockin","walber/cadastroAccentureProjeto,walber/jee-sistemaacademico,walber/lesa-crawler,walber/liferay-plugins,walber/liferay-portal,walber/mutirapp-view,walber/OperationRoomScheduler,walber/ORScheduling"
"coal-lang/coal,Nagiliant/King-s-Vessel","10c8/10c8.github.io,10c8/AsciiCraft,10c8/cloud,10c8/grid-sdk,10c8/icelang,10c8/paper,10c8/picosmash,10c8/pie,10c8/pixelbot,10c8/pluvee-beta,10c8/pluvee-game,10c8/popcorn-app,10c8/rpgii-engine,10c8/Stove,10c8/swapapp,10c8/test,10c8/webui,10c8/XboxTesting"
"DOAMAIS/UEVENTS,githubschool/open-enrollment-classes-introduction-to-github","mikeliguedes/gamedu,mikeliguedes/learning-grid-layout,mikeliguedes/mikeliguedes.github.io,mikeliguedes/mireloj,mikeliguedes/my-clock"
"aidaferreira/synesthesiavision,MiniMarvin/StreetFighter_player,MiniMarvin/TronCo,ThiagoAugustoSM/CInProjects","MichaelBarney/cook,MichaelBarney/FreeCodeCamp,MichaelBarney/my-site,MichaelBarney/ProjetosEC,MichaelBarney/synesthesiavision,MichaelBarney/testes"
"angelobrito/if718datachk,embatbr/ddtp","rcaferraz/aulas_floss,rcaferraz/django,rcaferraz/goto,rcaferraz/Grande-Recife-reader,rcaferraz/if718datachk,rcaferraz/kiwi,rcaferraz/meuspensamentos,rcaferraz/meuspensamentos_old,rcaferraz/modem3gdialer,rcaferraz/mydevenv,rcaferraz/rgms,rcaferraz/Sockets-Learning,rcaferraz/startbootstrap-sb-admin-2,rcaferraz/tg,rcaferraz/torspec,rcaferraz/traducao-tar-ptBR"
,"danielmedeiros52/achei,danielmedeiros52/ControlPlain,danielmedeiros52/ControTraining,danielmedeiros52/FestaFacil,danielmedeiros52/FoodIlike,danielmedeiros52/Intranetgw,danielmedeiros52/JatoMax,danielmedeiros52/OdevX,danielmedeiros52/React,danielmedeiros52/totalView,danielmedeiros52/UniRecife"
