User,Repo_Member,mRepo_Language,Repo_Owner,oRepo_Language
fernandopereira,,,"fernandopereira/cep,fernandopereira/digital_ocean,fernandopereira/fields_serialize,fernandopereira/handeploy,fernandopereira/provider,fernandopereira/recruiter,fernandopereira/rubyjobsbrazil,fernandopereira/unobtrusive_flash","Ruby,None,Ruby,Ruby,Ruby,Ruby,None,Ruby"
thiagotargino,,,"thiagotargino/dotfiles,thiagotargino/labella.js,thiagotargino/locawebstyle,thiagotargino/magento2-theme-blank-sass,thiagotargino/thiagotargino.github.io","JavaScript,JavaScript,None,CSS,JavaScript"
carvalhodj,"joaovitor7/Claket,jualabs/riscv,vmms16/Aeroporto-DW","HTML,Python,Python","carvalhodj/AccurateCare,carvalhodj/arduino,carvalhodj/ESP8266-MQTT-HTTP-Server,carvalhodj/events,carvalhodj/fund_engsoft,carvalhodj/gerencia-processo-sofware-20171,carvalhodj/greenpot,carvalhodj/ionic3-firebase_take-photo,carvalhodj/linux,carvalhodj/MakerPriceUFRPE,carvalhodj/Maq_Refri,carvalhodj/PersonalHealth,carvalhodj/ProjetoBD_Manutencao,carvalhodj/projetoFundBD_20162,carvalhodj/qunews,carvalhodj/ufrpe_bsi,carvalhodj/web_promovox","Java,Arduino,Arduino,Python,PLSQL,None,JavaScript,TypeScript,Shell,Java,SystemVerilog,Java,Python,HTML,Python,Python,JavaScript"
diogobrsantos,,,,
paulapithon,"ErikVPSantos/compiladores,LewiSamuel/HackathonGlobo2018","C++,Python","paulapithon/android_firebase_basics,paulapithon/android_fuzzy,paulapithon/android_mqtt,paulapithon/camera_gallery,paulapithon/compiladores,paulapithon/HackathonGlobo2018,paulapithon/ios_practice,paulapithon/magnetization_curve,paulapithon/self_checkout,paulapithon/uberHACK","Java,Java,Java,Java,C++,Python,Swift,Java,Java,Java"
macm3,"fbormann/IPProject,luiz-reis/pg-corte-plano,miltongneto/GameVoice,rc125/academia-even3,rcalegario/siscomRFID,ruybrito106/JSONParser,ruybrito106/record-linkage,TMotaBastos/homicide-analysis-visualizacao-2017-2,TMotaBastos/SkimJS","Java,C++,Java,None,Java,Java,Haskell,HTML,Haskell","macm3/ASTs,macm3/data-structures,macm3/functionalprogramming,macm3/Golang,macm3/implicit-mf,macm3/JSONParser,macm3/minweb2,macm3/opei,macm3/opei-website,macm3/PG_projeto1,macm3/RPA","Java,C,Haskell,Go,Python,Java,Python,TypeScript,CSS,C++,Groovy"
dgmneto,"brgccf/projetogdi,godely/cpio-cli,inloco/jedis,PedroRossi/Breg-O-Matic,pet-informatica/pet-informatica.github.io","Java,JavaScript,Java,JavaScript,CSS","dgmneto/ast,dgmneto/Breg-O-Matic,dgmneto/dc-sample,dgmneto/entrega3gdi,dgmneto/Fisica_Final,dgmneto/Game,dgmneto/HW,dgmneto/if688.github.io,dgmneto/InfoRetrievalProject,dgmneto/lexer,dgmneto/mrc,dgmneto/Muros,dgmneto/otimizacao,dgmneto/physics,dgmneto/Projeto-AVLC,dgmneto/projeto-visualizacao,dgmneto/RPA,dgmneto/SDProject,dgmneto/tarski","Java,JavaScript,JavaScript,None,C++,Makefile,VHDL,Java,HTML,Java,None,C++,C++,Java,Java,JavaScript,Groovy,Verilog,None"
lucianowolf,,,"lucianowolf/Apiextractor,lucianowolf/Examples,lucianowolf/Generatorrunner,lucianowolf/Iceberg,lucianowolf/Junkyard,lucianowolf/Meique,lucianowolf/PySide,lucianowolf/Python-QtTracker,lucianowolf/qt5-tools,lucianowolf/Shiboken,lucianowolf/snowshoe","C++,Python,C++,C++,None,C++,C++,C++,Shell,C++,C++"
davincif,"marcomnt/RV,Tecnosolve/csZBar","C#,C++","davincif/3DLightInteractor,davincif/Amila-RTS,davincif/BezierCurve,davincif/luaMiniMiddleware,davincif/MethodsProject,davincif/NorthLionFramework,davincif/old_davincif.com,davincif/RPGHelper","Python,Python,Python,C,Python,C,JavaScript,Python"
filipe0513,"chicofilho/fst,chicofilho/Landing-page-bootstrap,filipeximenes/stroop_test","HTML,JavaScript,JavaScript","filipe0513/arrecifes,filipe0513/avaliaai,filipe0513/babylon,filipe0513/barchat,filipe0513/capunga,filipe0513/cerveja,filipe0513/magalhaes,filipe0513/manguezal.github.com,filipe0513/merdometro,filipe0513/murano,filipe0513/oushbier,filipe0513/recimpex,filipe0513/Sails.js_ChatApp_v0.9.3,filipe0513/stroop_test,filipe0513/try_git,filipe0513/varejao,filipe0513/vidronorte","None,CSS,HTML,Objective-C,None,Ruby,None,CSS,Ruby,None,None,None,JavaScript,JavaScript,None,None,None"
MiniMarvin,,,"MiniMarvin/ada-tester,MiniMarvin/ai_studies,MiniMarvin/Algorithms_Example,MiniMarvin/arduino-tablature,MiniMarvin/breakout_AI,MiniMarvin/concurseiro_api,MiniMarvin/concurseiro_webapp,MiniMarvin/cosmos,MiniMarvin/EudoClub,MiniMarvin/flappy-player,MiniMarvin/hacktoberfest,MiniMarvin/Hacktoberfest-Data-Structure-and-Algorithms,MiniMarvin/Hacktoberfest-Mathematics,MiniMarvin/have-fun-with-machine-learning,MiniMarvin/infra-software,MiniMarvin/javascript-breakout,MiniMarvin/manguezal.github.com,MiniMarvin/MiniMarvin.github.io,MiniMarvin/MIPS_Processor,MiniMarvin/Music_Box,MiniMarvin/PyPDF2,MiniMarvin/RoboCInmulator,MiniMarvin/School,MiniMarvin/StreetFighter_player,MiniMarvin/studies,MiniMarvin/t-rex-runner,MiniMarvin/TronCo,MiniMarvin/vrep-example","Swift,HTML,Java,JavaScript,JavaScript,JavaScript,CSS,C++,CSS,JavaScript,HTML,Java,Java,Python,Assembly,JavaScript,HTML,HTML,VHDL,Arduino,Python,C,C,Python,C++,JavaScript,C,C"
daicorrea,,,"daicorrea/CatPhotoApp,daicorrea/DrawSquares,daicorrea/EnglishTale,daicorrea/GPXCleaner,daicorrea/JavaIntro,daicorrea/JSLearn,daicorrea/LovelyAda,daicorrea/Minefield,daicorrea/Moody,daicorrea/MovieWebsite,daicorrea/my-project,daicorrea/myPortfolio,daicorrea/ProfanityEditor,daicorrea/quoteMachine,daicorrea/reactLearning,daicorrea/RemoveFileNumber,daicorrea/StrongPassword,daicorrea/TakeABreak,daicorrea/ToDoApp-React,daicorrea/TWU-Biblioteca-Daiane,daicorrea/WeatherApp,daicorrea/YourGitHubGuide","HTML,Python,Java,Java,Java,None,CSS,C,HTML,Python,Python,HTML,Python,HTML,JavaScript,Python,Java,Python,CSS,Java,CSS,HTML"
felipealencar,,,"felipealencar/blackfrauday,felipealencar/connepi-ocs,felipealencar/connepi-site,felipealencar/erbase,felipealencar/filesystem,felipealencar/mdn,felipealencar/openstackmiddleware,felipealencar/pjin,felipealencar/pp,felipealencar/sdn-ddos-monitor,felipealencar/SDWM2RDBMS,felipealencar/silencioso","JavaScript,PHP,PHP,HTML,Java,Java,Java,PHP,TeX,Python,None,None"
iagoneresb,"Onnion/OrganicTrade,Onnion/socialsecurity-api","Java,JavaScript","iagoneresb/API-Laravel-5.5,iagoneresb/iagoneresb.github.io,iagoneresb/instagram-scraper,iagoneresb/laravel-boleto,iagoneresb/Machine-Learning,iagoneresb/UFRPE","PHP,CSS,Python,PHP,None,CSS"
tobiasparaiso,,,,
giovannipcarvalho,"CarlosRodrigo/rideshare,CarlosRodrigo/rideshare-android-client,CarlosRodrigo/rideshare-rest-api","JavaScript,Java,JavaScript","giovannipcarvalho/8rainhas-py,giovannipcarvalho/binary-tree,giovannipcarvalho/carclassifieds-visualizacao-2018-1,giovannipcarvalho/cpp-graph,giovannipcarvalho/cpp-template,giovannipcarvalho/dotfiles,giovannipcarvalho/dots-and-boxes,giovannipcarvalho/dropzone-0x0-upload,giovannipcarvalho/ics-145-projects,giovannipcarvalho/jtab,giovannipcarvalho/project-euler,giovannipcarvalho/project-rosalind,giovannipcarvalho/PyCHAMELEON,giovannipcarvalho/sige,giovannipcarvalho/speedreader,giovannipcarvalho/transpositioncipher","Python,C++,None,C++,Makefile,Vim script,Python,Python,C,HTML,Python,C++,Python,Java,JavaScript,Python"
fjmartins,"JeffersonCoelho/Projeto-SD,joaocalixto/hackathonserpro2","Java,JavaScript","fjmartins/2048,fjmartins/android-gns,fjmartins/arctouch-code-challenge,fjmartins/automatic-train,fjmartins/basic-blockchain-programming,fjmartins/birlcoin,fjmartins/cocoa-beans,fjmartins/compilers-assignment,fjmartins/connect-1,fjmartins/contacts,fjmartins/CSS-Tricks-React-Series,fjmartins/distributed-systems-assignment,fjmartins/docs,fjmartins/express-delivery,fjmartins/gekko,fjmartins/hackmobile-tw,fjmartins/react-countdown-timer,fjmartins/Twitter-Clone,fjmartins/vanhack-techproject-forum,fjmartins/video-calling-app","CSS,Java,Java,Java,C,C++,JavaScript,C,CoffeeScript,Java,JavaScript,Java,HTML,Java,JavaScript,Java,JavaScript,JavaScript,None,JavaScript"
luanoliveira1992,,,"luanoliveira1992/academia,luanoliveira1992/ambiente-php-vagrant,luanoliveira1992/ambiente-python-django-vagrant,luanoliveira1992/dadosBrasil,luanoliveira1992/escola,luanoliveira1992/grade_horario,luanoliveira1992/hillclimbing,luanoliveira1992/integrandoconhecimento,luanoliveira1992/jhipsterSampleApplication,luanoliveira1992/jinja2,luanoliveira1992/Liquid,luanoliveira1992/oticas,luanoliveira1992/PDDNA,luanoliveira1992/pregao,luanoliveira1992/puzzle_computer,luanoliveira1992/pytubeWorks,luanoliveira1992/quantumneuralnetwork,luanoliveira1992/serverless-python-requirements,luanoliveira1992/slackbot,luanoliveira1992/topBurger,luanoliveira1992/weka","JavaScript,Puppet,None,HTML,Java,Python,Java,Java,Java,Python,F#,JavaScript,Java,None,CSS,Python,None,JavaScript,Python,Java,Java"
Vitor0liveira,"githubschool/open-enrollment-classes-introduction-to-github,luhanlacerda/atividades-android,luhanlacerda/clinicmanagement,luhanlacerda/clinicmanagementfront,luhanlacerda/GerenciamentoDeClinica,Luizdidier/Backend-Laravel-Rest,Mavbraz/BarberMobile,rodolfoestevam/Empregets,rodolfoestevam/medical-care.descolanerd","JavaScript,Java,Java,CSS,C#,PHP,Java,C#,Java","Vitor0liveira/angular,Vitor0liveira/angular-cli,Vitor0liveira/Barber,Vitor0liveira/BarberAPI,Vitor0liveira/clinicmanagement,Vitor0liveira/codefights,Vitor0liveira/codigo-de-conduta,Vitor0liveira/company,Vitor0liveira/comunidade,Vitor0liveira/curso-angular2,Vitor0liveira/curso-git,Vitor0liveira/curso-java-basico,Vitor0liveira/dominando_android2,Vitor0liveira/duo-navigation-drawer,Vitor0liveira/Empregets,Vitor0liveira/front-end-career,Vitor0liveira/Front-end-Developer-Interview-Questions,Vitor0liveira/frontend-challenges,Vitor0liveira/GerenciamentoDeClinica,Vitor0liveira/IWantToWorkAtGloboCom,Vitor0liveira/JavaScript30,Vitor0liveira/medical-care.descolanerd,Vitor0liveira/meReforma,Vitor0liveira/Portal-Academico,Vitor0liveira/ProjetoEstudio,Vitor0liveira/ProjetoHotel,Vitor0liveira/remote-jobs-brazil,Vitor0liveira/Simulador-Detran,Vitor0liveira/trabalhando-remoto,Vitor0liveira/twitter-bootstrap-wizard,Vitor0liveira/vagas,Vitor0liveira/vitor0liveira.github.io,Vitor0liveira/weekly,Vitor0liveira/You-Dont-Know-JS","TypeScript,TypeScript,TypeScript,JavaScript,Java,Python,None,None,None,TypeScript,HTML,Java,Java,Java,C#,None,None,None,C#,None,HTML,Java,CSS,None,Java,Java,None,Java,None,JavaScript,None,CSS,HTML,JavaScript"
joelnetodev,,,"joelnetodev/aprendendo-android-basico,joelnetodev/core-angular-store,joelnetodev/exame-programming-c,joelnetodev/generic-db-ioc-infra,joelnetodev/spring-mvc-pizzaria,joelnetodev/tfs-gamified","Java,C#,C#,C#,Java,C#"
estevaocm,bitkey/bitkey,JavaScript,"estevaocm/AssinadorPdf,estevaocm/bitkey,estevaocm/bitkey.github.io,estevaocm/ProcessamentoImagem,estevaocm/RubricaClient","Java,JavaScript,HTML,Java,Java"
tvarjao,,,"tvarjao/curso_rails_api,tvarjao/Maratona-Bots","Ruby,JavaScript"
kevinbreaker,Walteann/kulpper-page,CSS,"kevinbreaker/Angular,kevinbreaker/br.vuejs.org,kevinbreaker/comunidades,kevinbreaker/default,kevinbreaker/didaticos,kevinbreaker/empresas-que-usam-vue-no-brasil,kevinbreaker/eventstudy,kevinbreaker/GO,kevinbreaker/GraphQL,kevinbreaker/Ionic,kevinbreaker/JavaScript,kevinbreaker/Java_Android,kevinbreaker/JS,kevinbreaker/kulpper-page,kevinbreaker/Maratona-BOTs,kevinbreaker/MinhaFeira,kevinbreaker/NodeJS,kevinbreaker/Oracle,kevinbreaker/PHP,kevinbreaker/Portfolios,kevinbreaker/React-Native,kevinbreaker/react-native-faq,kevinbreaker/ruby,kevinbreaker/Vue","TypeScript,JavaScript,None,JavaScript,PHP,None,PHP,Go,JavaScript,None,JavaScript,Java,JavaScript,CSS,None,None,JavaScript,None,PHP,HTML,JavaScript,None,Ruby,HTML"
palmeidaprog,,,"palmeidaprog/batteryDischarge,palmeidaprog/check-listing,palmeidaprog/compweek,palmeidaprog/cpfgenerator,palmeidaprog/findpath_memoization,palmeidaprog/Freespace_wapp,palmeidaprog/g500-control,palmeidaprog/icc-mercado,palmeidaprog/maratona,palmeidaprog/nomad,palmeidaprog/nomad-j,palmeidaprog/sistema-de-consultas,palmeidaprog/stag-pgm,palmeidaprog/tabrestore,palmeidaprog/test_repo,palmeidaprog/trashy-linux,palmeidaprog/visual-ffmpeg,palmeidaprog/visual-GCC","None,Java,Java,C,C++,Java,C,Java,C++,C++,Java,C,Shell,C++,None,Shell,None,C"
fehaa,"fnipo/contact-list,WandersonAlves/beercalc","HTML,JavaScript","fehaa/angular-2-project,fehaa/ionic-2-tutorial-tableless,fehaa/iot-frontend-angular,fehaa/js-factorial,fehaa/Leaflet,fehaa/pwa-react-countries,fehaa/traducoes-de-artigos","TypeScript,CSS,TypeScript,JavaScript,JavaScript,JavaScript,None"
fecalemos,,,"fecalemos/AppAccessibilityDeaf,fecalemos/brew,fecalemos/buster,fecalemos/DeafDevSpace,fecalemos/fecalemos.github.io,fecalemos/jekyll-uno,fecalemos/livro-android,fecalemos/ntask-api,fecalemos/rails,fecalemos/RubyOnRails,fecalemos/sample_app","JavaScript,Ruby,Python,None,None,CSS,Java,JavaScript,Ruby,Ruby,Ruby"
luizpaulogodoy,mesainc/vue-select,JavaScript,"luizpaulogodoy/angular-my-modal,luizpaulogodoy/cascalho_scrum_board,luizpaulogodoy/chatterbot,luizpaulogodoy/deployd,luizpaulogodoy/elixir,luizpaulogodoy/GExtenso,luizpaulogodoy/gh-pullrequest,luizpaulogodoy/gin-example-api,luizpaulogodoy/hello_docker,luizpaulogodoy/hub,luizpaulogodoy/nerves,luizpaulogodoy/phoenix,luizpaulogodoy/phoenix_guides,luizpaulogodoy/ph_blog,luizpaulogodoy/ph_chat,luizpaulogodoy/pr_geohash,luizpaulogodoy/pubnub-angular,luizpaulogodoy/puncher,luizpaulogodoy/rails,luizpaulogodoy/study-react,luizpaulogodoy/topo_sort","JavaScript,Elixir,Ruby,JavaScript,Elixir,PHP,Shell,Go,Ruby,Go,Elixir,Elixir,CSS,Elixir,Elixir,Ruby,JavaScript,Go,None,JavaScript,Ruby"
joaozig,,,"joaozig/amazon_ec2_rails,joaozig/angular2-edu,joaozig/angular2-tour-of-heroes,joaozig/angular4-firebase,joaozig/api_on_rails,joaozig/contacts,joaozig/contactsAPI,joaozig/es6,joaozig/gitignore,joaozig/mesaplaces,joaozig/mesaplacesapi,joaozig/MundiAPI-RUBY,joaozig/og-mobile,joaozig/organizr_api,joaozig/organizr_ios,joaozig/pageparse,joaozig/rails_base_project,joaozig/rg-api,joaozig/rg-app,joaozig/rg-nginx,joaozig/rg-web,joaozig/servicofacil,joaozig/table-ios,joaozig/testes-cakephp,joaozig/vue-base-admin,joaozig/wbb-app,joaozig/will_paginate","Ruby,JavaScript,TypeScript,TypeScript,Ruby,HTML,Ruby,None,None,JavaScript,Ruby,Ruby,JavaScript,Ruby,Swift,Ruby,Ruby,Ruby,TypeScript,Shell,Ruby,Ruby,Swift,PHP,None,TypeScript,Ruby"
rennanmoura1990,,,"rennanmoura1990/crud_angular_slimphp_mysql,rennanmoura1990/Csharp,rennanmoura1990/csharp_webservice,rennanmoura1990/desligador,rennanmoura1990/GCF-2016.1,rennanmoura1990/java,rennanmoura1990/Lista-de-Jogos-Android,rennanmoura1990/ProjetoPSC,rennanmoura1990/Web","HTML,None,C#,C#,HTML,Java,Java,Java,None"
rbm4,"IF977/Insurance-Car,LGR3/GPE_Markdown_Coaching","JavaScript,None","rbm4/8bit,rbm4/blinktrade-ruby,rbm4/blog-application,rbm4/CMI_ids,rbm4/coinpayments,rbm4/cpt-web-new,rbm4/cptcambio-blinktrade-api,rbm4/CptCambio_transactions,rbm4/Cripto-Cambio,rbm4/hacka-augment,rbm4/if1009,rbm4/PayPortal-cptcambio,rbm4/Payportal-Cptcambio-web,rbm4/selenium-features-if10009,rbm4/shapeshiftio,rbm4/simple-image-holder","Ruby,Ruby,JavaScript,JavaScript,Ruby,CSS,None,JavaScript,JavaScript,CSS,JavaScript,Kotlin,CSS,Java,Ruby,Ruby"
ronaldoveras,RaquelOliveira/ProjetoExpress,JavaScript,"ronaldoveras/2016.2-desenvOO,ronaldoveras/2017.2-ConexoesPostgresql,ronaldoveras/aeso-doo-2015-2,ronaldoveras/bootstrap,ronaldoveras/commons-lang,ronaldoveras/django,ronaldoveras/eloquente-javascript,ronaldoveras/infra,ronaldoveras/jquery,ronaldoveras/jquery-ui,ronaldoveras/js,ronaldoveras/js-the-right-way,ronaldoveras/python-lab,ronaldoveras/ronaldoveras.github.io,ronaldoveras/ruby-lab,ronaldoveras/treinamento,ronaldoveras/Vertx-Server-Tour-of-Heroes","Java,Python,Java,CSS,None,Python,None,Shell,JavaScript,JavaScript,TypeScript,CSS,Python,JavaScript,Ruby,Java,Java"
camilacnery,ezequiel454/app,Java,"camilacnery/camilacnery.github.io,camilacnery/codewars,camilacnery/CSC301H5F-home,camilacnery/redux-test,camilacnery/simple-calculator","None,JavaScript,None,JavaScript,JavaScript"
rhnasc,"alexisjordao/operationalsystems,ebcardoso/compiler-p-plus-plus,ltrr/currjs,michellevalente/tribble,viniciusd/HackBrasil,viniciusd/HackDuke","C++,C,JavaScript,C++,CSS,Java","rhnasc/deepdive-livecoding,rhnasc/gopivore,rhnasc/rhnasc.com,rhnasc/rhnasc.github.io","Go,None,None,HTML"
jamessonfaria,,,"jamessonfaria/android-projects,jamessonfaria/angular-2-aprendizado,jamessonfaria/ExGame,jamessonfaria/ionic-3-aprendizado,jamessonfaria/MaratonaBotsMicrosoft,jamessonfaria/mercadopago,jamessonfaria/TiBikePaths,jamessonfaria/ws-exgame","Java,TypeScript,C#,TypeScript,C#,Ruby,Java,Ruby"
mangueBit,leoschet/thelazyproject,Python,"mangueBit/2048,mangueBit/Hacktoberfest-Data-Structure-and-Algorithms,mangueBit/IA-BOMBERMAN,mangueBit/Java-Fuctura,mangueBit/my-website,mangueBit/pernambuco-patriota,mangueBit/PLC,mangueBit/Problems,mangueBit/Projeto-Jornada,mangueBit/python3-studies,mangueBit/twitter-sentiment-analysis","Python,Java,C,Java,HTML,JavaScript,Haskell,C++,Ruby,Python,Python"
brunosouza,eduardojvrocha/Project_Git_Rocha,None,"brunosouza/basebob,brunosouza/bresa-framework,brunosouza/manguezal.github.com,brunosouza/oocss,brunosouza/Project_Git_Rocha","None,JavaScript,HTML,None,None"
aeciovc,"joaocalixto/reuso,rodfmelo/GFinanceiro,tempestsecurity/go-pop3","Java,Java,Go",aeciovc/erp,Python
pethersilva,CESARBR/knot-lib-ios-source,Swift,"pethersilva/android,pethersilva/android-arch-random-user-sample,pethersilva/android-lifecycles,pethersilva/android-ndk,pethersilva/android-persistence,pethersilva/android-things,pethersilva/datasharing,pethersilva/exercise-contacts-listview-adapter,pethersilva/FavoriteToys,pethersilva/frevo-on-rails.github.com,pethersilva/friendlychat,pethersilva/making-an-app-interactive-part1,pethersilva/python,pethersilva/sample-simplepio,pethersilva/sample-simpleui,pethersilva/ud851-Exercises,pethersilva/ud851-Sunshine","Java,Kotlin,Java,C++,Java,Java,None,Java,Java,CSS,Java,None,Python,Java,Java,Java,Java"
niltonheck,,,"niltonheck/bemyeyes-android,niltonheck/credit_card_bins,niltonheck/language-freemarker,niltonheck/niltonheck.github.io,niltonheck/obrasilemdados.org,niltonheck/rmp-colxport,niltonheck/theme-original","Java,Ruby,CoffeeScript,Ruby,None,Python,CSS"
brunoassisp,,,"brunoassisp/Machine-Learning-project,brunoassisp/PISA-Data-Viz-project,brunoassisp/Prosper-EDA-project,brunoassisp/Wrangle_OSM_Data","Jupyter Notebook,Jupyter Notebook,HTML,Jupyter Notebook"
wagnerpaxs,,,wagnerpaxs/backup-mysql,Shell
soareswallace,"lomcin/harrypottontology,prximenes/agenda_nasm","Web Ontology Language,Assembly","soareswallace/algorithms,soareswallace/AP5,soareswallace/AudioProcessing,soareswallace/biomaps,soareswallace/CANDecoder,soareswallace/ember,soareswallace/fpu_assembly_nasm,soareswallace/image_processing,soareswallace/Indoor-Location-Wi-Fi,soareswallace/K-NN,soareswallace/Learning-Vector-Quantization,soareswallace/metodo_dos_minimos,soareswallace/openMP,soareswallace/PCA-LDA,soareswallace/projeto_if678,soareswallace/Secret-Project,soareswallace/Symfony,soareswallace/symphart","Roff,Assembly,Arduino,Swift,Verilog,JavaScript,Assembly,Matlab,JavaScript,Python,Python,Assembly,C,Python,Python,None,PHP,PHP"
consensotec,,,"consensotec/atualizacao-cadastral,consensotec/gerencial_pentaho,consensotec/gsan,consensotec/gsanas,consensotec/gsaneos,consensotec/impressao-simultanea,consensotec/processosNegocio,consensotec/zabbix-extensions","Java,None,Java,Java,Java,Java,None,Shell"
ricardowendell,"propostarelatorios/propostarelatorios.github.io,tmssoares/pyweb","HTML,Jupyter Notebook","ricardowendell/corpos-percussivos,ricardowendell/datasciencecoursera,ricardowendell/datasharing,ricardowendell/hacker-rank-solutions,ricardowendell/ricardowendell.github.io,ricardowendell/spark-box,ricardowendell/techradar-react,ricardowendell/twqa,ricardowendell/Yottabyte","Ruby,None,None,Scala,HTML,None,JavaScript,JavaScript,Java"
gppeixoto,"inloco/kafka-elasticsearch-injector,lapl/AtividadeESS,larissapassos/8-Queens-SGA,larissapassos/TAIA-finalproject,larissapassos/TLC-visualizacao-2016-2,mmfrb/classificador-mineracao,mmfrb/InfraCom,vinimoraesrc/PG","Go,C++,Python,Python,JavaScript,Python,Java,C++","gppeixoto/ackley-optimization,gppeixoto/airflow-dags,gppeixoto/Algoritmos,gppeixoto/BIA660-Final-Project,gppeixoto/bigdata-notes,gppeixoto/Bootloader,gppeixoto/CNN_sentence,gppeixoto/debezium-examples,gppeixoto/deeplearning-papernotes,gppeixoto/fnc-1-baseline,gppeixoto/gppeixoto.codes,gppeixoto/gppeixoto.github.io,gppeixoto/in0984,gppeixoto/in1164,gppeixoto/interview_questions,gppeixoto/ipmt,gppeixoto/JPBackEnd,gppeixoto/JPFrontEnd,gppeixoto/kaggle,gppeixoto/keras,gppeixoto/L1-Software,gppeixoto/learning-idv,gppeixoto/MineracaoWeb,gppeixoto/mllib-tdc-2016,gppeixoto/P2_IndoorUserMovementPrediction,gppeixoto/pcc,gppeixoto/PLC,gppeixoto/pln,gppeixoto/pln-finalproject,gppeixoto/presto,gppeixoto/presto_client,gppeixoto/projeto-escape,gppeixoto/projetogdi,gppeixoto/ProjetoIP,gppeixoto/ProjetoLogica1,gppeixoto/ProjetoLogica2,gppeixoto/rt5370sta,gppeixoto/soccermarket,gppeixoto/sparta-testgen,gppeixoto/teste_app,gppeixoto/tsa-web-ui,gppeixoto/tweettracker-sa,gppeixoto/twitter-cnn","Python,None,Java,None,None,Assembly,Python,None,None,Python,None,HTML,Go,Jupyter Notebook,Java,C++,Python,Java,Python,Python,Assembly,None,Ruby,Scala,Python,Python,Haskell,None,OpenEdge ABL,Java,Go,None,Java,Java,Java,Java,C,OpenEdge ABL,Java,Ruby,None,Python,Python"
wfsneto,"pianolab/cakephp-base,pianolab/laravel_base,pianolab/spaghetti-base,pianolab/spaghetti-uploadify,tisstech/bootstrap-laravel-scaffold","PHP,CSS,PHP,PHP,PHP","wfsneto/AppSoma,wfsneto/array_to_average,wfsneto/autocomplete,wfsneto/CalculoDeSalario,wfsneto/CodeIgniter,wfsneto/datepicker,wfsneto/doctrine-2.0,wfsneto/eloquent-repositories,wfsneto/emmet_font_awesome,wfsneto/first-laravel-package,wfsneto/gallery-devise,wfsneto/get-your-book,wfsneto/gostozin,wfsneto/laravel5-base,wfsneto/memorytest,wfsneto/multitenancy_test,wfsneto/my_tasks,wfsneto/producer,wfsneto/proficiency-test,wfsneto/ror-samples,wfsneto/sample-to-heroku,wfsneto/SistemaDeCompras,wfsneto/spaghetti-base,wfsneto/sublime-snippets,wfsneto/test_my_gem,wfsneto/trusty64-php-apache,wfsneto/try_git,wfsneto/zend-modulate","Java,Ruby,JavaScript,Java,PHP,JavaScript,PHP,Ruby,CSS,PHP,Ruby,Ruby,JavaScript,PHP,PHP,Ruby,Ruby,Ruby,Ruby,Ruby,Ruby,Java,PHP,None,Ruby,None,None,PHP"
Asaffe,daividvasconcelosleal/projeto-pp,Java,"Asaffe/android-location,Asaffe/fruits_detection,Asaffe/gonutri-project,Asaffe/Mining-the-Social-Web-2nd-Edition,Asaffe/mongo-csharp-driver,Asaffe/opencv-haar-classifier-training,Asaffe/projeto-rsi-psd,Asaffe/visualize_dataset_demo","Java,Java,Java,HTML,C#,C++,Python,Python"
danielcandidos,,,"danielcandidos/android-samples,danielcandidos/busup,danielcandidos/Carpool,danielcandidos/dizae,danielcandidos/fantasyfoot,danielcandidos/foot-project,danielcandidos/football-league-control,danielcandidos/icards,danielcandidos/locadora-dvds-ufrpe-lab-prog,danielcandidos/URI","Java,PHP,Java,Java,Python,Java,None,Java,Python,Kotlin"
igor-simoes,"AlexandreSGV/machine_learning_cin,damorim/jsfuzz,lucasharada/ubicomp-contexto,marcusrafael/ubicomp","Common Lisp,JavaScript,Java,Java","igor-simoes/cerebro-yts-movies,igor-simoes/dev_utils,igor-simoes/fuzz_testing_examples,igor-simoes/gitignore,igor-simoes/hello-docker,igor-simoes/igor-simoes.github.io,igor-simoes/pena,igor-simoes/public-apis,igor-simoes/react-native-examples,igor-simoes/ToDoGraphQL,igor-simoes/ubicomp,igor-simoes/ubicomp-context-project,igor-simoes/uiautomator","JavaScript,None,C++,None,Python,HTML,CSS,Python,JavaScript,Python,None,None,Python"
tonidas,"jslack/teste,netoabel/rails-test","None,Ruby","tonidas/007,tonidas/james_bond,tonidas/james_bond-core,tonidas/james_bond-git_mission,tonidas/james_bond_core,tonidas/octavarium,tonidas/octavarium_cli,tonidas/OO7,tonidas/paperclip,tonidas/popcorn.github.io,tonidas/prezto,tonidas/rails-restapi,tonidas/tgdummy,tonidas/versi","None,None,None,None,None,None,None,None,Ruby,None,Shell,Ruby,Ruby,Ruby"
victoraldabalde,,,"victoraldabalde/baseline,victoraldabalde/customselectbox,victoraldabalde/dotfiles,victoraldabalde/html5-boilerplate,victoraldabalde/SubtlePatterns","JavaScript,None,None,JavaScript,PHP"
