User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
igoriols,3,4,7,5,0.006781999999999999,10,0.194671,5786.490081,0.043156
josealbino,3,1,4,5,0.000852,12,0.140441,23.498134,0.046338
lauromoura,3,9,12,0,0.001,10,0.219112,222.276361,0.108342
alexodrosgomes,3,0,3,17,0.0005740000000000001,0,0.0,0.0,0.017440999999999998
rcaval,3,0,3,9,0.000985,0,0.0,0.0,0.046945
chicofilho,3,2,5,0,0.001101,10,0.211338,1.91337,0.13814300000000002
RodrigoCastiel,3,2,5,13,0.001416,11,0.161747,690.459371,0.010967
juliosmelo,3,1,4,0,0.000816,11,0.194189,264.521941,0.127498
lbrito1,3,3,6,0,0.0026420000000000003,10,0.203264,504.0,0.087297
renatoosousa,3,7,10,13,0.001105,11,0.187158,2804.540526,0.007159
aperrelli,3,5,8,5,0.001286,10,0.17786400000000002,390.195637,0.079068
pereiragislene,3,1,4,9,0.001081,10,0.166414,14.221485,0.087039
Juniorlimaivd,3,13,16,13,0.000989,10,0.198911,7127.467752,0.009209
rafaelgsm,3,2,5,14,0.001196,10,0.184202,1661.0921,0.019339
saulobr88,3,2,5,11,0.001209,11,0.197977,671.969481,0.009905
esdrascosta,3,0,3,12,0.001248,0,0.0,0.0,0.006116
jgfn1,3,3,6,13,0.001439,11,0.16237,255.200079,0.013621
almdac,3,3,6,13,0.001408,11,0.15986,1005.0,0.011143
douglas-queiroz,3,0,3,10,0.0008759999999999999,0,0.0,0.0,0.016789
bebetocf,3,5,8,13,0.000828,11,0.171895,2059.798968,0.00875
tcostam,3,11,14,14,0.000683,10,0.224314,4293.615518,0.01956
daniellqueiroz,3,5,8,3,0.001088,11,0.199128,2599.0,0.024738
Gustavomagalhaes,3,5,8,24,0.00146,11,0.19762,2827.587632,0.006472
penelopearaujo,3,5,8,13,0.001143,9,0.218937,1098.32272,0.008751
guilhermejccavalcanti,3,0,3,6,0.002073,0,0.0,0.0,0.04776
MichaelBarney,3,1,4,13,0.000782,1,1.0,2.0,0.006581999999999999
jpedroh,3,2,5,6,0.001075,10,0.169712,2000.0,0.025064
Allansantosdefreitas,3,2,5,7,0.001084,11,0.22748,1864.520421,0.019794
ronaldoveras,3,3,6,9,0.001655,10,0.229385,1271.755044,0.077141
rmd2,3,2,5,0,0.0008179999999999999,10,0.205706,471.049708,0.165176
felipesotero,3,2,5,0,0.001136,10,0.2256070000000001,0.0,0.2421
isabarros,3,3,6,0,0.000859,10,0.21191,27.433531,0.124323
abriela,3,4,7,9,0.000775,11,0.2142030000000001,1.0,0.010596
walber,3,0,3,5,0.00058,0,0.0,0.0,0.06907100000000001
victorpluna,3,2,5,21,0.000741,10,0.172707,1604.401833,0.067359
mauLeal,3,2,5,11,0.001046,9,0.21142,0.0,0.022582
flpn,3,3,6,15,0.00182,12,0.134743,1050.0,0.005649
gustavomeloGH,3,3,6,15,0.001467,11,0.155505,3636.0,0.006243
pcosv,3,1,4,13,0.000735,10,0.179672,41.95,0.008941
felypenery,3,1,4,7,0.0008410000000000001,11,0.197051,0.0,0.097921
macm3,3,8,11,6,0.0008470000000000001,9,0.221057,1684.987013,0.008551000000000001
antoniocorreia,3,6,9,0,0.001134,10,0.228238,2493.752786,0.100956
