User,In_Degree,Out_Degree,Degree,Modularity_Class,Page_Rank,Eccentricity_Centrality,Closness_Centrality,Betweeness_Centrality,EigenVector_Centrality
thiagotargino,1,4,5,21,0.0006320000000000001,10,0.211583,1016.151001,0.04398
matequeiroz,1,3,4,11,0.000802,10,0.20857,549.0,0.00129
adozrocha,1,1,2,0,0.000575,10,0.208444,0.0,0.050316
matheusmmx,1,1,2,0,0.000575,10,0.208444,0.0,0.050316
arthurms,1,1,2,9,0.000411,10,0.208682,79.18868,0.002741
deividazevedo2,1,8,9,0,0.00045,10,0.25524,832.4421629999997,0.036095
FernandaLandim,1,1,2,5,0.0009789999999999998,9,0.199273,0.0,0.05639
paulapithon,1,1,2,15,0.000839,11,0.171949,2191.553571,0.001508
dnloliveira1,1,0,1,-3,0.000734,0,0.0,0.0,0.00129
brunapvasconcelos,1,1,2,24,0.000478,12,0.16061,0.0,0.00361
manoelfneto,1,1,2,24,0.000534,11,0.160563,0.0,0.002724
romildojuliano,1,2,3,13,0.000509,10,0.17649,0.0,0.003634000000000001
marlosin,1,1,2,10,0.001012,11,0.176774,0.0,0.003443
deyvisonbm,1,1,2,10,0.000508,11,0.17706,109.298898,0.002512
feliciosan,1,1,2,12,0.000904,12,0.17435599999999998,0.0,0.005867
jmignac,1,3,4,14,0.000381,11,0.17184100000000002,0.0,0.001869
staylward,1,1,2,5,0.001186,12,0.155197,0.0,0.004155
pablostellet,1,1,2,9,0.000479,1,1.0,69.128858,0.004436
andrebuarque,1,2,3,0,0.000573,12,0.152186,2.904401,0.00129
deyvisonrochaidealizza,1,1,2,4,0.000412,12,0.154648,0.0,0.00129
keywilliams,1,1,2,8,0.000591,11,0.1743,0.0,0.004077
vinyfalcao,1,1,2,8,0.000508,12,0.17441099999999998,0.0,0.003688
juniorbrasil,1,1,2,0,0.000459,11,0.180858,0.0,0.007759999999999999
koodaa,1,1,2,15,0.0008449999999999999,13,0.118769,0.0,0.002238
belcsantiago,1,2,3,24,0.000661,2,0.583333,8.0,0.001661
leonardopaiva,1,3,4,21,0.000409,11,0.180026,1020.681634,0.006749
petinformatica,1,1,2,6,0.00041900000000000016,10,0.181097,0.0,0.002571
caiochagas,1,1,2,12,0.000589,12,0.17435599999999998,0.0,0.004857
mangelis,1,1,2,8,0.000958,2,0.6,0.0,0.002327
andrefilipesz,1,1,2,8,0.000958,2,0.6,0.0,0.002327
JamessonCheron,1,2,3,16,0.000953,1,1.0,1.0,0.00129
amavlopes,1,1,2,12,0.000504,12,0.17856,0.0,0.004857
luanoliveira1992,1,1,2,12,0.0005780000000000001,11,0.15423599999999998,0.0,0.00219
danielcandidos,1,1,2,24,0.0005769999999999999,12,0.16505999999999998,0.0,0.002353
MatheusUehara,1,1,2,24,0.0005769999999999999,12,0.16505999999999998,0.0,0.002353
flavindias,1,1,2,14,0.000837,11,0.155593,0.0,0.003343
diegocamara,1,1,2,12,0.0005780000000000001,1,1.0,0.0,0.00219
gpb,1,2,3,3,0.0005139999999999999,12,0.166161,0.0,0.003688
aldeniolima,1,1,2,3,0.0005139999999999999,12,0.16611099999999998,0.0,0.003688
spider8,1,1,2,10,0.000453,1,1.0,10.857612,0.003056
RodrigoRodrigues7,1,1,2,11,0.00075,10,0.166363,0.0,0.002977
VanessaVieiraVV,1,4,5,13,0.000453,10,0.180739,1145.744627,0.003418
larislav,1,1,2,21,0.000624,12,0.158611,0.0,0.003609
jalexc,1,1,2,10,0.000669,12,0.16431800000000002,0.0,0.004528
frog789,1,1,2,7,0.0016079999999999998,13,0.14171199999999998,0.0,0.003321
GutenbergCarlos,1,1,2,21,0.000624,12,0.158611,0.0,0.003609
jonathasbsouza,1,2,3,15,0.001199,12,0.14759,2149.553571,0.003039
lauriavictor7,1,1,2,11,0.0006,10,0.177289,0.0,0.004704
vbsilva,1,1,2,15,0.000394,10,0.170398,144.19905500000004,0.002687
SilvaDecio,1,2,3,15,0.000629,10,0.186331,546.360492,0.007514
EduardoAmaral,1,1,2,7,0.0004,13,0.141969,0.0,0.002217
yeltsin,0,1,1,4,0.00032900000000000003,10,0.213287,0.0,0.0
angelobrito,0,2,2,0,0.00032900000000000003,11,0.188919,0.0,0.0
sflorencio,0,1,1,14,0.00032900000000000003,1,1.0,0.0,0.0
fracmt,0,1,1,0,0.00032900000000000003,12,0.130404,0.0,0.0
AvelinoGomez,0,1,1,16,0.00032900000000000003,1,1.0,0.0,0.0
tiagoalsilva,0,1,1,12,0.00032900000000000003,2,0.666667,0.0,0.0
sabrinagmcruz,0,1,1,7,0.00032900000000000003,1,1.0,0.0,0.0
willfelix,0,4,4,14,0.00032900000000000003,12,0.131023,0.0,0.0
tacionery,0,4,4,0,0.00032900000000000003,10,0.217512,0.0,0.0
wendeldesouza,0,1,1,-2,0.00032900000000000003,1,1.0,0.0,0.0
ClaytonRocha,0,1,1,16,0.00032900000000000003,1,1.0,0.0,0.0
phsg,0,1,1,14,0.00032900000000000003,1,1.0,0.0,0.0
KLEITONFREITAS,0,1,1,-2,0.00032900000000000003,1,1.0,0.0,0.0
aricardoreis,0,3,3,0,0.00032900000000000003,11,0.173228,0.0,0.0
phbritoo,0,1,1,21,0.00032900000000000003,13,0.134686,0.0,0.0
arthurmenezesb,0,1,1,6,0.00032900000000000003,1,1.0,0.0,0.0
VictorManoel,0,1,1,5,0.00032900000000000003,11,0.184043,0.0,0.0
klaytondeoliveira,0,1,1,5,0.00032900000000000003,11,0.184043,0.0,0.0
xewertonfilipe,0,3,3,21,0.00032900000000000003,11,0.188356,0.0,0.0
dashdanilo,0,1,1,5,0.00032900000000000003,11,0.184043,0.0,0.0
adelmojnr,0,1,1,5,0.00032900000000000003,11,0.184043,0.0,0.0
johnmaykbrito,0,2,2,7,0.00032900000000000003,12,0.185787,0.0,0.0
islanilton,0,1,1,-3,0.00032900000000000003,2,0.666667,0.0,0.0
feliperfmarques,0,3,3,2,0.00032900000000000003,11,0.17327,0.0,0.0
FranckAJ,0,1,1,12,0.00032900000000000003,2,0.666667,0.0,0.0
cConectando,0,3,3,17,0.00032900000000000003,9,0.207014,0.0,0.0
FlavioCastroFilho,0,2,2,17,0.00032900000000000003,11,0.180446,0.0,0.0
kevinbreaker,0,1,1,5,0.00032900000000000003,11,0.170391,0.0,0.0
andreximenes,0,5,5,12,0.00032900000000000003,10,0.219298,0.0,0.0
tiagocalisto,0,3,3,9,0.00032900000000000003,11,0.212766,0.0,0.0
rafamelima,0,1,1,9,0.00032900000000000003,11,0.212051,0.0,0.0
karollmm,0,1,1,9,0.00032900000000000003,11,0.212051,0.0,0.0
silvinhamorais,0,1,1,9,0.00032900000000000003,11,0.212051,0.0,0.0
MrRickSan,0,2,2,5,0.00032900000000000003,13,0.123711,0.0,0.0
arthurmagno,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
joaoMonte,0,2,2,1,0.00032900000000000003,9,0.202802,0.0,0.0
adsonxzx,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
thomascristanis,0,2,2,6,0.00032900000000000003,9,0.202808,0.0,0.0
AJS99,0,2,2,18,0.00032900000000000003,12,0.139594,0.0,0.0
BenjamimRodrigo,0,1,1,18,0.00032900000000000003,12,0.139375,0.0,0.0
mattvie,0,1,1,13,0.00032900000000000003,1,1.0,0.0,0.0
edigomes,0,1,1,-2,0.00032900000000000003,1,1.0,0.0,0.0
rodrigodma,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
jonatascp,0,3,3,14,0.00032900000000000003,10,0.187138,0.0,0.0
felipealencar,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
evandroabreu,0,1,1,0,0.00032900000000000003,2,0.666667,0.0,0.0
khurama,0,1,1,6,0.00032900000000000003,1,1.0,0.0,0.0
atriciasabino,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
douglasventura,0,1,1,6,0.00032900000000000003,9,0.202508,0.0,0.0
diegobarcelar,0,1,1,0,0.00032900000000000003,10,0.211479,0.0,0.0
lumaneto,0,1,1,9,0.00032900000000000003,11,0.212051,0.0,0.0
atilarec,0,1,1,14,0.00032900000000000003,1,1.0,0.0,0.0
